State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes)
California,Lake,CaliforniaLake,180,43,32,30.5,15.5,25567,2700,31879,32269,45.6,64148,11038,3955,6874,40446,2857,25.8,26.5,21.4,16.1,10.1,12.5,28.9
California,Los Angeles,CaliforniaLos,235,165,83,20.6,32.5,4291688,629811,4976788,5121264,36.2,10098052,4139895,1107090,2947568,61015,262,36.4,19,24.1,7.6,12.8,5.3,30.9
California,Madera,CaliforniaMadera,250,113,61,24.9,14.6,55089,6649,74683,80330,33.9,155013,52029,28458,22438,48210,2108,23.9,17.3,22,23,13.8,3.6,25.6
California,Marin,CaliforniaMarin,206,57,33,10.5,59.5,121476,8662,127113,133182,46.5,260295,151603,23662,125172,104703,1763,53.8,14.4,21.4,5.7,4.6,10.7,31.7
California,Mariposa,CaliforniaMariposa,618,111,47,24.4,24.6,6381,781,8920,8620,51.4,17540,10280,5950,4088,51385,3637,30.5,32.7,20.6,8,8.2,9.2,30.9
California,Mendocino,CaliforniaMendocino,456,76,34,25,24.4,33723,3292,43439,43983,42.8,87422,25171,6312,18303,46528,1787,32.5,22,22.6,14.4,8.5,8.1,19.8
California,Merced,CaliforniaMerced,183,95,53,25.3,13.8,100755,13981,135816,133259,30.9,269075,81356,35240,44260,46338,1301,23.4,19,21.6,19.1,17,3.4,27
California,Mono,CaliforniaMono,1928,199,40,24.2,28.8,6917,929,7341,6833,38.3,14174,6713,2504,3998,60595,6356,37,30.3,18,7.3,7.3,9.3,16.1
California,Monterey,CaliforniaMonterey,250,63,36,20.3,24.7,190389,23082,220967,212245,34.1,433212,155994,43439,109145,63249,1209,28.5,20.1,20.2,20.4,10.9,4.6,22.4
California,Napa,CaliforniaNapa,199,62,36,17.8,35.7,62853,6014,70082,70448,41.1,140530,67847,19388,46962,79637,1895,36.3,21.2,21.5,10.7,10.3,5.6,24.1
California,Nevada,CaliforniaNevada,252,90,41,18.4,37.2,42787,3702,48889,50203,50.1,99092,54177,22059,30860,60610,2262,41.3,20.3,22.7,8.3,7.5,10.4,24.5
California,Orange,CaliforniaOrange,218,108,51,17.2,40.6,1416738,136563,1562429,1601753,37.8,3164182,1503039,667038,805222,81851,570,40.9,17.5,24.8,6.6,10.2,5.6,27.4
California,Placer,CaliforniaPlacer,222,108,54,18,39.7,171319,13573,185511,194566,41.9,380077,215442,110859,99585,80488,1431,44,16.6,25.7,7.4,6.4,8.3,27.3
California,Plumas,CaliforniaPlumas,469,146,49,26.1,23.7,6753,806,9423,9276,52.2,18699,10950,6247,4465,50266,3476,32.4,25.1,18.6,13.9,10,5.7,21.9
California,Riverside,CaliforniaRiverside,576,159,87,26.9,22.3,997725,109998,1186188,1197098,35.3,2383286,722913,323026,387200,60807,429,29.4,21.4,24.6,11.4,13.2,5.2,33.1
California,Sacramento,CaliforniaSacramento,200,100,52,22.4,30.9,641624,65558,737742,772281,36,1510023,536614,186311,338632,60239,475,38.4,19.6,24.8,7.9,9.3,5.5,26.9
California,Shasta,CaliforniaShasta,166,64,41,25.4,22.2,66484,6343,87859,91226,41.8,179085,88761,57894,28889,47258,1104,31.7,21.9,26.3,10.5,9.5,5.8,19.9
California,Siskiyou,CaliforniaSiskiyou,359,61,36,25.5,23.2,15286,1637,21706,21834,48,43540,22991,12985,9456,40884,1957,32.9,21.3,21.9,14.4,9.5,8.9,18.9
California,Solano,CaliforniaSolano,204,76,41,23.8,26.9,183607,19205,217931,220599,37.9,438530,201864,67793,129344,72950,1244,32.7,20.4,24.2,10.5,12.2,4.1,31.8
California,Sonoma,CaliforniaSonoma,187,53,33,18.7,35.5,225791,19300,245196,256121,41.7,501317,197603,40478,153342,71769,1046,37.2,20,22.4,10.6,9.8,6.9,25.2
California,Stanislaus,CaliforniaStanislaus,189,102,55,29.3,17.1,214885,25756,266844,272457,34,539301,195857,94152,97430,54260,976,27.2,18,23.8,14.4,16.7,4.6,28.2
California,Sutter,CaliforniaSutter,303,89,48,23.3,18.2,40472,4995,47789,48083,35.7,95872,41694,23864,16961,54347,2000,29.6,19.1,22.3,16.5,12.5,4.6,26.4
California,Tehama,CaliforniaTehama,196,93,43,30.1,15.7,23317,2262,31504,31869,40.9,63373,25005,16346,8105,42512,2803,23.7,22.1,23.6,14.3,16.3,4.7,23.5
California,Trinity,CaliforniaTrinity,193,79,27,34.8,19.5,4155,360,6582,6280,51.8,12862,5095,2513,2383,36563,5946,30.3,27.6,21.1,9.1,11.8,15.1,17.4
California,Tulare,CaliforniaTulare,209,145,79,25.5,14.6,172852,26299,230255,230222,30.8,460477,142819,75471,64320,44871,1286,25,18.1,20.2,22.6,14.2,3.1,22.5
California,Tuolumne,CaliforniaTuolumne,143,64,41,28.3,20.5,17954,2084,28102,25830,48.4,53932,29820,17302,11808,54325,2700,32.8,25.6,21.2,11.7,8.7,6.5,27
California,Ventura,CaliforniaVentura,174,90,47,19.2,33.8,373903,34964,419588,428524,37.9,848112,417057,159791,248349,81972,983,37.8,17.1,23.3,11.7,10,5.7,26.6
California,Yolo,CaliforniaYolo,192,84,42,18.1,41.4,97111,7915,104375,110602,31,214977,64934,16128,47504,61621,1733,44.2,18.7,18.8,9,9.3,5,23.2
Colorado,Adams,ColoradoAdams,151,72,47,28.6,24.3,252469,22029,250704,246411,33.6,497115,234599,94874,132951,64087,991,29.8,18.9,24.1,13.7,13.5,5,29.2
Colorado,Alamosa,ColoradoAlamosa,60,30,11,28.5,25,7868,535,8242,8202,30.4,16444,7519,3676,3624,36315,4688,30.6,22.6,22.3,13.1,11.4,2.9,14.6
Colorado,Arapahoe,ColoradoArapahoe,159,76,45,20.8,42.8,337943,28825,314672,321999,36.5,636671,346740,126124,211498,69553,846,41.4,16.7,25,7.9,9,6.8,27.7
Colorado,Archuleta,ColoradoArchuleta,93,58,43,21,37.2,6585,538,6546,6362,50.6,12908,9030,5126,3693,48016,5197,37.3,17,20,16.5,9.2,9.7,17.2
Colorado,Boulder,ColoradoBoulder,173,84,47,11.7,62.1,180992,11887,161355,159675,36.2,321030,193656,39289,150247,75669,1234,53.2,15.6,19.4,5,6.7,11.8,22.7
Colorado,Clear Creek,ColoradoClear,143,71,47,21.9,48.1,5628,523,4816,4563,47.8,9379,6290,2618,3495,68534,4776,37.5,17.8,24.2,12.9,7.6,14.9,30.3
Colorado,Delta,ColoradoDelta,97,51,41,38.3,21.7,13400,940,15235,15111,47.6,30346,19272,13013,5862,42487,4104,34.5,19.7,17.7,17.7,10.5,8,24.3
Colorado,Denver,ColoradoDenver,150,80,50,16.8,49.4,388924,34900,347188,346229,34.4,693417,393529,71543,313090,60098,950,46.1,16.8,21.5,7.9,7.7,7.6,25.3
Colorado,Douglas,ColoradoDouglas,159,80,46,12,58,183412,11237,163766,164848,38.4,328614,230478,120661,104199,111154,1484,53.7,11.6,25,4.6,5,11,27.6
Colorado,El Paso,ColoradoEl,151,74,45,20.4,38.5,319084,25036,347478,340675,34.1,688153,375058,200968,160265,62535,844,40.8,18.4,23.9,8.4,8.4,6.3,23
Colorado,Fremont,ColoradoFremont,27,20,11,39.3,18.5,14203,1190,27324,19678,44.9,47002,25058,17231,7170,44712,1951,30.8,25.7,23.7,12.7,7.2,4.3,22.7
Colorado,Garfield,ColoradoGarfield,122,74,46,27,31,29606,2156,29779,28759,36.3,58538,30216,14404,15070,66503,2244,32.1,19.6,21,17.3,10,6.8,31.6
Colorado,Gilpin,ColoradoGilpin,136,67,45,21.4,39.6,3562,454,3169,2755,45.7,5924,4143,1815,2199,72544,5648,44.4,23.1,16.9,6.7,8.9,13.6,36.6
Colorado,Gunnison,ColoradoGunnison,108,54,44,15.9,56.2,10596,751,8983,7554,34.5,16537,10887,3599,6976,52651,4811,33.2,23.1,19.1,16.3,8.3,3.9,14.2
Colorado,Jackson,ColoradoJackson,84,46,8,28.1,20,900,40,631,665,50.9,1296,873,680,173,45994,4071,30.6,15.3,16.8,28.4,8.9,16.5,28.9
Colorado,Jefferson,ColoradoJefferson,161,90,46,20.3,45.2,310057,23625,283919,286508,40.4,570427,376915,148227,218166,75170,854,45.6,14.9,24.5,7.6,7.5,7.8,27.5
Colorado,La Plata,ColoradoLa,101,61,44,20,44.2,29219,2147,27790,27311,39.9,55101,35524,14194,20450,62533,2438,40.1,18.4,22.6,11.2,7.6,6.8,21.4
Colorado,Larimer,ColoradoLarimer,157,87,48,19,47.3,190842,12841,168615,169546,35.9,338161,223653,91197,125765,64980,1414,43.4,17.4,22.5,8.1,8.6,7.5,22.8
Colorado,Mesa,ColoradoMesa,108,58,44,27.6,28.2,69917,5634,74027,75971,39.1,149998,85368,53344,30106,51971,1350,33.8,18.4,23.7,12.5,11.6,6.2,20.2
Colorado,Montezuma,ColoradoMontezuma,126,58,44,29.3,29.6,11795,908,12760,13149,44.4,25909,15421,9267,5802,45645,3355,31.8,22.4,22.7,12.3,10.7,8.5,22
Colorado,Pitkin,ColoradoPitkin,68,33,12,17,60.8,10077,1176,9408,8501,42,17909,11829,2739,8906,67755,7367,41.6,22.2,22.3,7.5,6.4,12.7,17.5
Colorado,Prowers,ColoradoProwers,238,42,17,26.1,18.3,5937,276,6035,6017,38,12052,5507,3977,1438,41740,2550,32.9,19,22.7,16.3,9.1,7,13.8
Colorado,Pueblo,ColoradoPueblo,63,45,19,29.1,21.8,71037,6318,80962,83723,38.9,164685,86760,41502,43070,42386,1201,31.3,21.4,25.6,9.6,12.1,2.9,21.8
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160,3291,3174,35.9,6465,3672,3047,557,57991,8135,27.8,16.4,18.4,25.3,12.2,7,17.3
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160,3291,3174,35.9,6465,6280,3645,2488,38534,3781,27.8,16.9,23.7,20.7,10.9,3.6,17.4
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160,5696,5655,41.5,11351,3672,3047,557,57991,8135,27.8,16.4,18.4,25.3,12.2,7,17.3
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160,5696,5655,41.5,11351,6280,3645,2488,38534,3781,27.8,16.9,23.7,20.7,10.9,3.6,17.4
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385,3291,3174,35.9,6465,3672,3047,557,57991,8135,27.8,16.4,18.4,25.3,12.2,7,17.3
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385,3291,3174,35.9,6465,6280,3645,2488,38534,3781,27.8,16.9,23.7,20.7,10.9,3.6,17.4
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385,5696,5655,41.5,11351,3672,3047,557,57991,8135,27.8,16.4,18.4,25.3,12.2,7,17.3
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385,5696,5655,41.5,11351,6280,3645,2488,38534,3781,27.8,16.9,23.7,20.7,10.9,3.6,17.4
Colorado,Routt,ColoradoRoutt,68,29,14,20.2,49.8,14929,1277,12915,11959,39.8,24874,16767,5883,10523,67472,4036,34.2,24.3,23,11.3,7.2,9.2,17.9
Colorado,Weld,ColoradoWeld,140,82,48,27.3,27.5,155042,11624,148627,146496,34.3,295123,164791,94965,65169,66489,1582,33.2,16.9,22.7,13,14.2,5.5,26.7
Connecticut,Fairfield,ConnecticutFairfield,161,80,44,21.5,47.9,429164,37044,459963,484385,40.3,944348,35414,12052,22861,89773,1202,44.5,18.3,22.6,7.3,7.3,5.9,30.4
Connecticut,Hartford,ConnecticutHartford,98,55,39,26.6,38.1,437433,38682,434650,460080,40.4,894730,32686,4117,28295,69936,847,43.4,16.7,23.5,6.2,10.3,4,23
Connecticut,Litchfield,ConnecticutLitchfield,84,50,38,29.9,35.4,95102,7007,90447,92584,47.2,183031,5342,2555,2673,76438,1577,40.8,17,21.6,9.8,10.8,5.3,27.4
Connecticut,Middlesex,ConnecticutMiddlesex,129,54,39,25.8,42.2,86211,6010,79676,83692,45.4,163368,,,,81673,1923,45.4,15.2,23.5,7.9,8,5.6,26.1
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,420669,36502,414311,445028,40.1,859339,42102,6146,35521,64872,827,41.3,17.7,23.5,7.1,10.3,4.2,24.9
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,420669,36502,414311,445028,40.1,859339,9123,2045,6912,69411,1516,40.1,21.9,20.6,8,9.5,4.8,23.4
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,420669,36502,134703,134178,41.4,268881,42102,6146,35521,64872,827,41.3,17.7,23.5,7.1,10.3,4.2,24.9
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,420669,36502,134703,134178,41.4,268881,9123,2045,6912,69411,1516,40.1,21.9,20.6,8,9.5,4.8,23.4
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,119313,12679,414311,445028,40.1,859339,42102,6146,35521,64872,827,41.3,17.7,23.5,7.1,10.3,4.2,24.9
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,119313,12679,414311,445028,40.1,859339,9123,2045,6912,69411,1516,40.1,21.9,20.6,8,9.5,4.8,23.4
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,119313,12679,134703,134178,41.4,268881,42102,6146,35521,64872,827,41.3,17.7,23.5,7.1,10.3,4.2,24.9
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,119313,12679,134703,134178,41.4,268881,9123,2045,6912,69411,1516,40.1,21.9,20.6,8,9.5,4.8,23.4
Connecticut,Tolland,ConnecticutTolland,93,48,39,27,41.8,79362,5236,75821,75448,37.5,151269,9257,3975,5103,81312,1632,42.7,17,22.5,8.6,9.2,5,26.3
Connecticut,Windham,ConnecticutWindham,87,44,35,33.2,24.3,57369,4849,57560,58978,41.3,116538,8348,2824,5365,62553,1889,33.1,20.5,23,10.6,12.8,4.1,26.3
Delaware,Kent,DelawareKent,80,48,36,32.9,23.7,72843,6872,84271,90551,37.6,174822,87025,41009,44552,57647,1456,33.5,19.8,22.9,9.9,13.8,4.2,26.3
Delaware,New Castle,DelawareNew,105,58,40,30.8,36.2,275601,23039,268870,286263,38.1,555133,287633,88364,195034,68336,1106,43.9,17,23.4,7.1,8.7,4.2,25.7
Delaware,Sussex,DelawareSussex,87,51,38,31.2,28.3,98014,7990,106429,113111,49,219540,129352,71230,56682,57901,1291,33.3,18.7,24,11.2,12.8,5.6,25.3
Florida,Alachua,FloridaAlachua,105,52,36,21.2,43.3,127696,7235,127298,135850,31.3,263148,142784,50891,89527,45478,1546,46.1,19.2,23.3,5.3,6.2,4.5,21.2
Florida,Baker,FloridaBaker,140,49,35,42.6,13.2,11179,580,14753,13032,37.6,27785,14082,11911,2037,59506,4489,29.9,19,26.7,10.6,13.9,3.5,29.9
Florida,Bay,FloridaBay,146,58,40,31,23.7,77746,5017,90768,91714,39.4,182482,93131,66063,25572,50283,1571,32,22.2,25.1,10.2,10.5,3.3,22.8
Florida,Brevard,FloridaBrevard,84,52,39,28.3,30.2,262867,18724,282023,294785,47.2,576808,360666,207857,148479,51536,616,38.4,19.1,24.7,8.5,9.4,6,24.5
Florida,Broward,FloridaBroward,142,57,40,27.3,32.4,930297,90289,929712,979439,40.1,1909151,959418,333346,618597,54895,644,35.6,19.9,27.5,8.4,8.6,4.9,28.2
Florida,Citrus,FloridaCitrus,125,54,32,37.2,18.3,42582,3918,69376,73711,56.2,143087,93380,65348,27088,40574,1147,28.2,23.5,25.2,11.2,11.9,5.8,25.3
Florida,Collier,FloridaCollier,85,54,36,25.8,36.4,165287,12210,179336,184586,50.3,363922,207758,128936,77595,62407,1257,30.6,24.2,24.1,13.5,7.6,7.3,24.5
Florida,Columbia,FloridaColumbia,158,56,36,36.7,14.9,27840,1726,35683,33422,40.7,69105,33039,23835,8912,43504,2151,30.3,20.7,25,13,11,3.7,24.8
Florida,Duval,FloridaDuval,125,59,42,27.8,30,452481,32633,448163,476066,36.1,924229,492556,233687,252450,51296,541,36.6,18.3,27.1,7.8,10.3,4.8,24.5
Florida,Escambia,FloridaEscambia,80,58,42,27.2,26.5,135108,9671,154520,157002,37.2,311522,170311,96655,70893,47361,949,32.6,20.6,28.8,8.3,9.7,9,21.9
Florida,Flagler,FloridaFlagler,64,43,31,34.3,25.1,43083,3553,51187,55952,50.9,107139,71846,43039,28148,51049,1256,31.6,19.3,31.9,9.4,7.8,7.7,25.7
Florida,Hamilton,FloridaHamilton,154,52,33,45.4,7.9,3880,319,8281,5988,41.5,14269,5838,3815,1963,36209,4821,28.3,27.7,18.2,11.4,14.3,4.1,23.4
Florida,Highlands,FloridaHighlands,74,44,31,38.8,17.2,31967,2674,49727,52374,53.4,102101,52117,34846,16917,36374,1135,29.3,21.5,26.6,14.1,8.6,4.9,20.4
Florida,Hillsborough,FloridaHillsborough,112,61,43,27.1,33.5,700764,53788,673286,705597,36.9,1378883,711722,327306,376196,53742,533,38.4,17.9,26.5,8.6,8.6,6.2,27.3
Florida,Holmes,FloridaHolmes,138,54,38,40.7,10.7,6472,378,10484,8946,42.5,19430,9077,8079,924,37474,4051,27.9,21.3,22.9,14.5,13.4,3.6,28.2
Florida,Indian River,FloridaIndian,87,47,37,30.4,29.1,59482,4751,72290,78694,52.9,150984,97737,58870,37843,49009,1267,32.6,21,27.2,11.2,8.1,7.6,22.4
Florida,Lake,FloridaLake,87,45,32,32.1,24,140383,13645,162402,172960,46.8,335362,211702,125853,83491,49734,1173,32,21.4,27.8,9.5,9.4,6.1,28.8
Florida,Lee,FloridaLee,100,50,36,31,28.2,320161,25256,351918,366761,48.1,718679,393854,233242,157672,52052,572,30.4,21.7,27.7,11.8,8.3,5.6,27.2
Florida,Leon,FloridaLeon,160,58,40,19,46.2,141883,8743,136894,151208,30.7,288102,162895,57446,103492,49941,922,45.1,18.2,26.4,5.2,5.1,3.9,20.8
Florida,Liberty,FloridaLiberty,51,44,31,45.8,14.4,2473,125,5110,3255,40.3,8365,3562,2846,693,36741,3554,24.8,27,21.6,12.9,13.7,3.2,33
Florida,Manatee,FloridaManatee,97,44,33,30.1,29.8,164571,11925,180595,193258,48,373853,216879,124966,90127,53408,1088,33.1,20.7,26.9,9.7,9.6,7.5,25.4
