State,Area name,First Word of Each County,Abbreviation,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Florida,Brevard ,Brevard,FloridaBrevard,28.3,30.2
Florida,Broward ,Broward,FloridaBroward,27.3,32.4
Florida,Calhoun ,Calhoun,FloridaCalhoun,41.6,9.5
Florida,Charlotte ,Charlotte,FloridaCharlotte,34.6,23.4
Florida,Citrus ,Citrus,FloridaCitrus,37.2,18.3
Florida,Clay ,Clay,FloridaClay,31,24.9
Florida,Collier ,Collier,FloridaCollier,25.8,36.4
Florida,Columbia ,Columbia,FloridaColumbia,36.7,14.9
Florida,DeSoto ,DeSoto,FloridaDeSoto,43.8,11.5
Florida,Dixie ,Dixie,FloridaDixie,43.3,10.4
Florida,Duval ,Duval,FloridaDuval,27.8,30
Florida,Escambia ,Escambia,FloridaEscambia,27.2,26.5
Florida,Flagler ,Flagler,FloridaFlagler,34.3,25.1
Florida,Franklin ,Franklin,FloridaFranklin,34.6,18.8
Florida,Gadsden ,Gadsden,FloridaGadsden,36.2,16.2
Florida,Gilchrist ,Gilchrist,FloridaGilchrist,42.1,13.4
Florida,Glades ,Glades,FloridaGlades,38.2,11.2
Florida,Gulf ,Gulf,FloridaGulf,35.8,19.2
Florida,Hamilton ,Hamilton,FloridaHamilton,45.4,7.9
Florida,Hardee ,Hardee,FloridaHardee,49.1,10.2
Florida,Hendry ,Hendry,FloridaHendry,33.7,8.3
Florida,Hernando ,Hernando,FloridaHernando,35.2,18.4
Florida,Highlands ,Highlands,FloridaHighlands,38.8,17.2
Florida,Hillsborough ,Hillsborough,FloridaHillsborough,27.1,33.5
Florida,Holmes ,Holmes,FloridaHolmes,40.7,10.7
Florida,Indian River ,Indian,FloridaIndian,30.4,29.1
Florida,Jackson ,Jackson,FloridaJackson,38.4,12.6
Florida,Jefferson ,Jefferson,FloridaJefferson,34.7,22.3
Florida,Lafayette ,Lafayette,FloridaLafayette,38.9,11.8
Florida,Lake ,Lake,FloridaLake,32.1,24
Florida,Lee ,Lee,FloridaLee,31,28.2
Florida,Leon ,Leon,FloridaLeon,19,46.2
Florida,Levy ,Levy,FloridaLevy,41.1,12.2
Florida,Liberty ,Liberty,FloridaLiberty,45.8,14.4
Florida,Madison ,Madison,FloridaMadison,39.7,14
Florida,Manatee ,Manatee,FloridaManatee,30.1,29.8
Florida,Marion ,Marion,FloridaMarion,36.9,20.1
Florida,Martin ,Martin,FloridaMartin,24.9,34.1
Florida,Miami-Dade ,Miami-Dade,FloridaMiami-Dade,27.3,29.8
Florida,Monroe ,Monroe,FloridaMonroe,26.7,34.4
Florida,Nassau ,Nassau,FloridaNassau,31.7,29.6
Florida,Okaloosa ,Okaloosa,FloridaOkaloosa,24.7,31.1
Florida,Okeechobee ,Okeechobee,FloridaOkeechobee,39.5,11.3
Florida,Orange ,Orange,FloridaOrange,24.4,34.6
Florida,Osceola ,Osceola,FloridaOsceola,31.3,21.8
Florida,Palm Beach ,Palm,FloridaPalm,24,36.7
Florida,Pasco ,Pasco,FloridaPasco,33.2,24
Florida,Pinellas ,Pinellas,FloridaPinellas,28,31.7
Florida,Polk ,Polk,FloridaPolk,34.7,20.2
Florida,Putnam ,Putnam,FloridaPutnam,41.2,12.3
Florida,St. Johns ,St.,FloridaSt.,21.4,44.7
Florida,St. Lucie ,St.,FloridaSt.,33.2,21.6
Florida,Santa Rosa ,Santa,FloridaSanta,26.8,27.7
Florida,Sarasota ,Sarasota,FloridaSarasota,28.9,35.4
Florida,Seminole ,Seminole,FloridaSeminole,21.1,39.6
Florida,Sumter ,Sumter,FloridaSumter,30.4,31.8
Florida,Suwannee ,Suwannee,FloridaSuwannee,38.9,15.5
Florida,Taylor ,Taylor,FloridaTaylor,43.8,8.3
Florida,Union ,Union,FloridaUnion,37.4,9.2
Florida,Volusia ,Volusia,FloridaVolusia,31.8,23.7
Florida,Wakulla ,Wakulla,FloridaWakulla,36.2,18.3
Florida,Walton ,Walton,FloridaWalton,28.5,28.5
Florida,Washington ,Washington,FloridaWashington,40.1,12.5
Georgia,Georgia,Georgia,GeorgiaGeorgia,27.7,31.3
Georgia,Appling ,Appling,GeorgiaAppling,38.7,9.8
Georgia,Atkinson ,Atkinson,GeorgiaAtkinson,34.7,12.2
Georgia,Bacon ,Bacon,GeorgiaBacon,42.4,10.5
Georgia,Baker ,Baker,GeorgiaBaker,37.9,12.9
Georgia,Baldwin ,Baldwin,GeorgiaBaldwin,35,23.3
Georgia,Banks ,Banks,GeorgiaBanks,38,13.4
Georgia,Barrow ,Barrow,GeorgiaBarrow,34.1,19
Georgia,Bartow ,Bartow,GeorgiaBartow,33.4,18.6
Georgia,Ben Hill ,Ben,GeorgiaBen,45.3,11.2
Georgia,Berrien ,Berrien,GeorgiaBerrien,42.4,11.4
Georgia,Bibb ,Bibb,GeorgiaBibb,30.5,25.4
Georgia,Bleckley ,Bleckley,GeorgiaBleckley,40.9,18.7
Georgia,Brantley ,Brantley,GeorgiaBrantley,44.6,8.9
Georgia,Brooks ,Brooks,GeorgiaBrooks,35,17.8
Georgia,Bryan ,Bryan,GeorgiaBryan,24.3,33.1
Georgia,Bulloch ,Bulloch,GeorgiaBulloch,27.2,27
Georgia,Burke ,Burke,GeorgiaBurke,38.3,13.2
Georgia,Butts ,Butts,GeorgiaButts,44.7,12.2
Georgia,Calhoun ,Calhoun,GeorgiaCalhoun,36.7,9.1
Georgia,Camden ,Camden,GeorgiaCamden,32.2,23.9
Georgia,Candler ,Candler,GeorgiaCandler,37.3,13
Georgia,Carroll ,Carroll,GeorgiaCarroll,33.4,21.1
Georgia,Catoosa ,Catoosa,GeorgiaCatoosa,32.9,21.4
Georgia,Charlton ,Charlton,GeorgiaCharlton,40.1,8.8
Georgia,Chatham ,Chatham,GeorgiaChatham,24.2,33.6
Georgia,Chattahoochee ,Chattahoochee,GeorgiaChattahoochee,28.3,29.5
Georgia,Chattooga ,Chattooga,GeorgiaChattooga,40.1,8.9
Georgia,Cherokee ,Cherokee,GeorgiaCherokee,22.4,38.2
Georgia,Clarke ,Clarke,GeorgiaClarke,19.9,44
Georgia,Clay ,Clay,GeorgiaClay,36.3,12.5
Georgia,Clayton ,Clayton,GeorgiaClayton,33.6,19.5
Georgia,Clinch ,Clinch,GeorgiaClinch,33.9,10
Georgia,Cobb ,Cobb,GeorgiaCobb,18.5,47.4
Georgia,Coffee ,Coffee,GeorgiaCoffee,37.2,13
Georgia,Colquitt ,Colquitt,GeorgiaColquitt,38.8,12.8
Georgia,Columbia ,Columbia,GeorgiaColumbia,23.8,36.4
Georgia,Cook ,Cook,GeorgiaCook,36.3,13.5
Georgia,Coweta ,Coweta,GeorgiaCoweta,28.6,30.3
Georgia,Crawford ,Crawford,GeorgiaCrawford,40,10.5
Georgia,Crisp ,Crisp,GeorgiaCrisp,37.6,14.1
Georgia,Dade ,Dade,GeorgiaDade,37.7,15.2
Georgia,Dawson ,Dawson,GeorgiaDawson,29.1,30.6
Georgia,Decatur ,Decatur,GeorgiaDecatur,36.7,13.8
Georgia,DeKalb ,DeKalb,GeorgiaDeKalb,20.9,44.2
Georgia,Dodge ,Dodge,GeorgiaDodge,44.2,14.3
Georgia,Dooly ,Dooly,GeorgiaDooly,41.1,12.1
Georgia,Dougherty ,Dougherty,GeorgiaDougherty,30.2,21.4
Georgia,Douglas ,Douglas,GeorgiaDouglas,30.4,28.2
Georgia,Early ,Early,GeorgiaEarly,37.1,15.1
Georgia,Echols ,Echols,GeorgiaEchols,41.9,9.7
Georgia,Effingham ,Effingham,GeorgiaEffingham,37.5,20
Georgia,Elbert ,Elbert,GeorgiaElbert,40.9,11.6
Georgia,Emanuel ,Emanuel,GeorgiaEmanuel,40.8,13
