State,Area name,First Word of Each County,Abbreviation,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Kansas,Wallace ,Wallace,KansasWallace,25.8,32.4
Kansas,Washington ,Washington,KansasWashington,40.7,20.3
Kansas,Wichita ,Wichita,KansasWichita,27.5,20.6
Kansas,Wilson ,Wilson,KansasWilson,33.9,16.5
Kansas,Woodson ,Woodson,KansasWoodson,35.2,17.2
Kansas,Wyandotte ,Wyandotte,KansasWyandotte,32.1,18.1
Kentucky,Kentucky,Kentucky,KentuckyKentucky,32.9,24.2
Kentucky,Adair ,Adair,KentuckyAdair,39,15.7
Kentucky,Allen ,Allen,KentuckyAllen,38.5,16.1
Kentucky,Anderson ,Anderson,KentuckyAnderson,36.6,20.2
Kentucky,Ballard ,Ballard,KentuckyBallard,36.4,15.9
Kentucky,Barren ,Barren,KentuckyBarren,42,16.3
Kentucky,Bath ,Bath,KentuckyBath,41.2,14.5
Kentucky,Bell ,Bell,KentuckyBell,38.5,9.2
Kentucky,Boone ,Boone,KentuckyBoone,27.5,32.1
Kentucky,Bourbon ,Bourbon,KentuckyBourbon,35.6,19.4
Kentucky,Boyd ,Boyd,KentuckyBoyd,33.9,19.4
Kentucky,Boyle ,Boyle,KentuckyBoyle,33.5,25.2
Kentucky,Bracken ,Bracken,KentuckyBracken,46.4,13.2
Kentucky,Breathitt ,Breathitt,KentuckyBreathitt,36.7,15.2
Kentucky,Breckinridge ,Breckinridge,KentuckyBreckinridge,44.9,11.9
Kentucky,Bullitt ,Bullitt,KentuckyBullitt,41.6,14.7
Kentucky,Butler ,Butler,KentuckyButler,42.9,13.9
Kentucky,Caldwell ,Caldwell,KentuckyCaldwell,45,15.3
Kentucky,Calloway ,Calloway,KentuckyCalloway,32.1,28.5
Kentucky,Campbell ,Campbell,KentuckyCampbell,28.2,36.3
Kentucky,Carlisle ,Carlisle,KentuckyCarlisle,40.4,14.9
Kentucky,Carroll ,Carroll,KentuckyCarroll,40.3,8.2
Kentucky,Carter ,Carter,KentuckyCarter,40.3,12.6
Kentucky,Casey ,Casey,KentuckyCasey,40.6,12.8
Kentucky,Christian ,Christian,KentuckyChristian,31,18.1
Kentucky,Clark ,Clark,KentuckyClark,34.3,20.1
Kentucky,Clay ,Clay,KentuckyClay,35.3,9.8
Kentucky,Clinton ,Clinton,KentuckyClinton,39.8,10.3
Kentucky,Crittenden ,Crittenden,KentuckyCrittenden,42,13.1
Kentucky,Cumberland ,Cumberland,KentuckyCumberland,43,13.3
Kentucky,Daviess ,Daviess,KentuckyDaviess,34.1,22.9
Kentucky,Edmonson ,Edmonson,KentuckyEdmonson,39.3,10.3
Kentucky,Elliott ,Elliott,KentuckyElliott,43.4,9.7
Kentucky,Estill ,Estill,KentuckyEstill,45.8,9.9
Kentucky,Fayette ,Fayette,KentuckyFayette,19.6,43.6
Kentucky,Fleming ,Fleming,KentuckyFleming,40.3,12.9
Kentucky,Floyd ,Floyd,KentuckyFloyd,37.8,11.3
Kentucky,Franklin ,Franklin,KentuckyFranklin,31.3,29.9
Kentucky,Fulton ,Fulton,KentuckyFulton,37.4,13.4
Kentucky,Gallatin ,Gallatin,KentuckyGallatin,44.2,11.6
Kentucky,Garrard ,Garrard,KentuckyGarrard,37.1,17.6
Kentucky,Grant ,Grant,KentuckyGrant,47.4,12.9
Kentucky,Graves ,Graves,KentuckyGraves,39.5,17.4
Kentucky,Grayson ,Grayson,KentuckyGrayson,43,10.5
Kentucky,Green ,Green,KentuckyGreen,37.8,13.2
Kentucky,Greenup ,Greenup,KentuckyGreenup,36,17.1
Kentucky,Hancock ,Hancock,KentuckyHancock,43.4,11.4
Kentucky,Hardin ,Hardin,KentuckyHardin,30.4,22
Kentucky,Harlan ,Harlan,KentuckyHarlan,34.6,10.8
Kentucky,Harrison ,Harrison,KentuckyHarrison,40.3,14.6
Kentucky,Hart ,Hart,KentuckyHart,40.3,11.4
Kentucky,Henderson ,Henderson,KentuckyHenderson,36,18.2
Kentucky,Henry ,Henry,KentuckyHenry,41.2,13.1
Kentucky,Hickman ,Hickman,KentuckyHickman,41.7,15.8
Kentucky,Hopkins ,Hopkins,KentuckyHopkins,40.4,16.5
Kentucky,Jackson ,Jackson,KentuckyJackson,42.7,13.8
Kentucky,Jefferson ,Jefferson,KentuckyJefferson,26.7,33.4
Kentucky,Jessamine ,Jessamine,KentuckyJessamine,30.5,29.5
Kentucky,Johnson ,Johnson,KentuckyJohnson,36.3,16.3
Kentucky,Kenton ,Kenton,KentuckyKenton,28.7,31.7
Kentucky,Knott ,Knott,KentuckyKnott,33.7,14.9
Kentucky,Knox ,Knox,KentuckyKnox,38,14.2
Kentucky,Larue ,Larue,KentuckyLarue,39.2,12.4
Kentucky,Laurel ,Laurel,KentuckyLaurel,39.1,14.4
Kentucky,Lawrence ,Lawrence,KentuckyLawrence,42.5,9.8
Kentucky,Lee ,Lee,KentuckyLee,36.3,8.3
Kentucky,Leslie ,Leslie,KentuckyLeslie,41.9,8.7
Kentucky,Letcher ,Letcher,KentuckyLetcher,37,12.1
Kentucky,Lewis ,Lewis,KentuckyLewis,42.8,9.1
Kentucky,Lincoln ,Lincoln,KentuckyLincoln,42.7,13
Kentucky,Livingston ,Livingston,KentuckyLivingston,43.6,11.8
Kentucky,Logan ,Logan,KentuckyLogan,44.5,16.4
Kentucky,Lyon ,Lyon,KentuckyLyon,41.1,16.9
Kentucky,McCracken ,McCracken,KentuckyMcCracken,31.4,24.2
Kentucky,McCreary ,McCreary,KentuckyMcCreary,40.9,7.2
Kentucky,McLean ,McLean,KentuckyMcLean,41.2,13.5
Kentucky,Madison ,Madison,KentuckyMadison,28.1,30.8
Kentucky,Magoffin ,Magoffin,KentuckyMagoffin,36.4,9.5
Kentucky,Marion ,Marion,KentuckyMarion,45.3,12.6
Kentucky,Marshall ,Marshall,KentuckyMarshall,38.2,19.2
Kentucky,Martin ,Martin,KentuckyMartin,39,11.7
Kentucky,Mason ,Mason,KentuckyMason,34.7,19.5
Kentucky,Meade ,Meade,KentuckyMeade,35.5,19.4
Kentucky,Menifee ,Menifee,KentuckyMenifee,44.7,11.2
Kentucky,Mercer ,Mercer,KentuckyMercer,36.8,18.5
Kentucky,Metcalfe ,Metcalfe,KentuckyMetcalfe,38.6,13
Kentucky,Monroe ,Monroe,KentuckyMonroe,39.3,14.4
Kentucky,Montgomery ,Montgomery,KentuckyMontgomery,40.3,15.7
Kentucky,Morgan ,Morgan,KentuckyMorgan,41.4,12.5
Kentucky,Muhlenberg ,Muhlenberg,KentuckyMuhlenberg,44.8,12.6
Kentucky,Nelson ,Nelson,KentuckyNelson,37.2,18
Kentucky,Nicholas ,Nicholas,KentuckyNicholas,42.1,8.9
Kentucky,Ohio ,Ohio,KentuckyOhio,43,13.6
Kentucky,Oldham ,Oldham,KentuckyOldham,20.7,42.4
Kentucky,Owen ,Owen,KentuckyOwen,46.4,10.9
Kentucky,Owsley ,Owsley,KentuckyOwsley,36.8,16.2
Kentucky,Pendleton ,Pendleton,KentuckyPendleton,43.8,13.2
Kentucky,Perry ,Perry,KentuckyPerry,33,14.4
Kentucky,Pike ,Pike,KentuckyPike,39.4,13
Kentucky,Powell ,Powell,KentuckyPowell,40,15.9
Kentucky,Pulaski ,Pulaski,KentuckyPulaski,35.7,16.5
Kentucky,Robertson ,Robertson,KentuckyRobertson,38.3,16.3
Kentucky,Rockcastle ,Rockcastle,KentuckyRockcastle,43.4,11.4
Kentucky,Rowan ,Rowan,KentuckyRowan,33.4,25.1
Kentucky,Russell ,Russell,KentuckyRussell,38,14.7
Kentucky,Scott ,Scott,KentuckyScott,30.3,28.4
Kentucky,Shelby ,Shelby,KentuckyShelby,30.3,24.9
Kentucky,Simpson ,Simpson,KentuckySimpson,44.9,14.2
Kentucky,Spencer ,Spencer,KentuckySpencer,36.3,20.3
Kentucky,Taylor ,Taylor,KentuckyTaylor,39.2,19.6
Kentucky,Todd ,Todd,KentuckyTodd,40.5,13.2
Kentucky,Trigg ,Trigg,KentuckyTrigg,33.2,16.6
Kentucky,Trimble ,Trimble,KentuckyTrimble,46.3,14.1
Kentucky,Union ,Union,KentuckyUnion,47.8,11.1
Kentucky,Warren ,Warren,KentuckyWarren,26.6,32.2
Kentucky,Washington ,Washington,KentuckyWashington,42.4,18.8
Kentucky,Wayne ,Wayne,KentuckyWayne,38.7,12.3
Kentucky,Webster ,Webster,KentuckyWebster,47,10
Kentucky,Whitley ,Whitley,KentuckyWhitley,36.9,20.4
Kentucky,Wolfe ,Wolfe,KentuckyWolfe,37.4,8.7
Kentucky,Woodford ,Woodford,KentuckyWoodford,29.8,33.8
Louisiana,Lousiana,Lousiana,LouisianaLousiana,34,24.1
Louisiana,Acadia Parish,Acadia,LouisianaAcadia,41.3,13.3
Louisiana,Allen Parish,Allen,LouisianaAllen,44.3,11.3
Louisiana,Ascension Parish,Ascension,LouisianaAscension,32.3,26.4
Louisiana,Assumption Parish,Assumption,LouisianaAssumption,45.1,9.6
Louisiana,Avoyelles Parish,Avoyelles,LouisianaAvoyelles,37.8,12.3
Louisiana,Beauregard Parish,Beauregard,LouisianaBeauregard,38.1,17.8
Louisiana,Bienville Parish,Bienville,LouisianaBienville,44.5,12.8
Louisiana,Bossier Parish,Bossier,LouisianaBossier,29.7,25.2
Louisiana,Caddo Parish,Caddo,LouisianaCaddo,33.7,23.5
Louisiana,Calcasieu Parish,Calcasieu,LouisianaCalcasieu,34.1,22.3
Louisiana,Caldwell Parish,Caldwell,LouisianaCaldwell,42.5,13.8
Louisiana,Cameron Parish,Cameron,LouisianaCameron,40.3,12.7
Louisiana,Catahoula Parish,Catahoula,LouisianaCatahoula,39.4,13.8
Louisiana,Claiborne Parish,Claiborne,LouisianaClaiborne,43.5,12.8
Louisiana,Concordia Parish,Concordia,LouisianaConcordia,40.8,14.1
Louisiana,De Soto Parish,De,LouisianaDe,42.6,14.8
Louisiana,East Baton Rouge Parish,East,LouisianaEast,27.3,34.9
Louisiana,East Carroll Parish,East,LouisianaEast,40.5,8.9
Louisiana,East Feliciana Parish,East,LouisianaEast,43.5,12.7
Louisiana,Evangeline Parish,Evangeline,LouisianaEvangeline,41.5,11.6
Louisiana,Franklin Parish,Franklin,LouisianaFranklin,42.1,12
Louisiana,Grant Parish,Grant,LouisianaGrant,46.8,8.5
Louisiana,Iberia Parish,Iberia,LouisianaIberia,43.7,13.6
Louisiana,Iberville Parish,Iberville,LouisianaIberville,41.3,13.9
Louisiana,Jackson Parish,Jackson,LouisianaJackson,42.6,14
Louisiana,Jefferson Parish,Jefferson,LouisianaJefferson,30.8,26.8
Louisiana,Jefferson Davis Parish,Jefferson,LouisianaJefferson,40.4,16.9
Louisiana,Lafayette Parish,Lafayette,LouisianaLafayette,30.4,33
Louisiana,Lafourche Parish,Lafourche,LouisianaLafourche,40.5,16.9
Louisiana,La Salle Parish,La,LouisianaLa,42.5,13.6
Louisiana,Lincoln Parish,Lincoln,LouisianaLincoln,26.8,35.6
Louisiana,Livingston Parish,Livingston,LouisianaLivingston,38.1,19.7
Louisiana,Madison Parish,Madison,LouisianaMadison,36.9,12.8
Louisiana,Morehouse Parish,Morehouse,LouisianaMorehouse,42.9,13
Louisiana,Natchitoches Parish,Natchitoches,LouisianaNatchitoches,35.1,19
Louisiana,Orleans Parish,Orleans,LouisianaOrleans,22.8,37.6
Louisiana,Ouachita Parish,Ouachita,LouisianaOuachita,34.1,24.2
Louisiana,Plaquemines Parish,Plaquemines,LouisianaPlaquemines,35.5,19.1
Louisiana,Pointe Coupee Parish,Pointe,LouisianaPointe,39.3,14.9
Louisiana,Rapides Parish,Rapides,LouisianaRapides,36.7,20.9
Louisiana,Red River Parish,Red,LouisianaRed,43.2,13.9
Louisiana,Richland Parish,Richland,LouisianaRichland,40.9,13.2
Louisiana,Sabine Parish,Sabine,LouisianaSabine,46.6,13.3
Louisiana,St. Bernard Parish,St.,LouisianaSt.,32.6,11.6
Louisiana,St. Charles Parish,St.,LouisianaSt.,34.5,25.3
Louisiana,St. Helena Parish,St.,LouisianaSt.,38.5,16.7
Louisiana,St. James Parish,St.,LouisianaSt.,41.1,16.3
Louisiana,St. John the Baptist Parish,St.,LouisianaSt.,38.8,15.9
Louisiana,St. Landry Parish,St.,LouisianaSt.,41.2,14.8
Louisiana,St. Martin Parish,St.,LouisianaSt.,43,14.5
Louisiana,St. Mary Parish,St.,LouisianaSt.,51,10.2
Louisiana,St. Tammany Parish,St.,LouisianaSt.,26.6,33.8
Louisiana,Tangipahoa Parish,Tangipahoa,LouisianaTangipahoa,37.2,20
Louisiana,Tensas Parish,Tensas,LouisianaTensas,46.1,11.4
Louisiana,Terrebonne Parish,Terrebonne,LouisianaTerrebonne,38.9,15.6
Louisiana,Union Parish,Union,LouisianaUnion,44.8,17.2
Louisiana,Vermilion Parish,Vermilion,LouisianaVermilion,41.3,14.2
Louisiana,Vernon Parish,Vernon,LouisianaVernon,40.2,17.5
Louisiana,Washington Parish,Washington,LouisianaWashington,44.7,11.6
Louisiana,Webster Parish,Webster,LouisianaWebster,42,15.4
Louisiana,West Baton Rouge Parish,West,LouisianaWest,37.2,22
Louisiana,West Carroll Parish,West,LouisianaWest,45.7,11.7
Louisiana,West Feliciana Parish,West,LouisianaWest,31.8,24.2
Louisiana,Winn Parish,Winn,LouisianaWinn,45.8,13.9
Maine,Maine,Maine,MaineMaine,31.5,31.8
Maine,Androscoggin ,Androscoggin,MaineAndroscoggin,35.5,22.8
Maine,Aroostook ,Aroostook,MaineAroostook,37.3,19.2
Maine,Cumberland ,Cumberland,MaineCumberland,22.2,47.6
Maine,Franklin ,Franklin,MaineFranklin,38,24.8
Maine,Hancock ,Hancock,MaineHancock,30.8,34.1
Maine,Kennebec ,Kennebec,MaineKennebec,32.7,28.1
Maine,Knox ,Knox,MaineKnox,32.9,33.5
Maine,Lincoln ,Lincoln,MaineLincoln,34.4,33.5
Maine,Oxford ,Oxford,MaineOxford,42,19.2
Maine,Penobscot ,Penobscot,MainePenobscot,33.6,27.7
Maine,Piscataquis ,Piscataquis,MainePiscataquis,40.7,18.4
Maine,Sagadahoc ,Sagadahoc,MaineSagadahoc,30,36.4
Maine,Somerset ,Somerset,MaineSomerset,40.4,16.5
Maine,Waldo ,Waldo,MaineWaldo,32.2,31.4
Maine,Washington ,Washington,MaineWashington,38,22
Maine,York ,York,MaineYork,30,32.5
Maryland,Maryland,Maryland,MarylandMaryland,24.6,40.2
Maryland,Allegany ,Allegany,MarylandAllegany,41.8,18.9
Maryland,Anne Arundel ,Anne,MarylandAnne,23.7,41.7
Maryland,Baltimore ,Baltimore,MarylandBaltimore,25.8,39.4
Maryland,Calvert ,Calvert,MarylandCalvert,30.3,32.4
Maryland,Caroline ,Caroline,MarylandCaroline,39.9,18.4
Maryland,Carroll ,Carroll,MarylandCarroll,29.4,36.4
Maryland,Cecil ,Cecil,MarylandCecil,36.1,23.9
Maryland,Charles ,Charles,MarylandCharles,31.7,28.9
Maryland,Dorchester ,Dorchester,MarylandDorchester,38.5,21.2
Maryland,Frederick ,Frederick,MarylandFrederick,24.1,41.4
Maryland,Garrett ,Garrett,MarylandGarrett,43.3,20.9
Maryland,Harford ,Harford,MarylandHarford,26,36.7
Maryland,Howard ,Howard,MarylandHoward,13.5,62.6
Maryland,Kent ,Kent,MarylandKent,29.8,35.1
Maryland,Montgomery ,Montgomery,MarylandMontgomery,13.4,58.9
Maryland,Prince George's ,Prince,MarylandPrince,25.8,33.1
Maryland,Queen Anne's ,Queen,MarylandQueen,28.9,36.5
Maryland,St. Mary's ,St.,MarylandSt.,30.3,31.9
Maryland,Somerset ,Somerset,MarylandSomerset,39.7,14.4
Maryland,Talbot ,Talbot,MarylandTalbot,24.5,40.6
Maryland,Washington ,Washington,MarylandWashington,36.5,21.9
Maryland,Wicomico ,Wicomico,MarylandWicomico,32.3,27.2
Maryland,Worcester ,Worcester,MarylandWorcester,31.8,29
Maryland,Baltimore city,Baltimore,MarylandBaltimore,29.1,31.9
Massachusetts,Massachusetts,Massachusetts,MassachusettsMassachusetts,24,43.7
Massachusetts,Barnstable ,Barnstable,MassachusettsBarnstable,23.7,43.4
Massachusetts,Berkshire ,Berkshire,MassachusettsBerkshire,29.4,33.6
Massachusetts,Bristol ,Bristol,MassachusettsBristol,29.9,28.7
Massachusetts,Dukes ,Dukes,MassachusettsDukes,23.6,44.9
Massachusetts,Essex ,Essex,MassachusettsEssex,25.1,39.9
Massachusetts,Franklin ,Franklin,MassachusettsFranklin,28.5,37.3
Massachusetts,Hampden ,Hampden,MassachusettsHampden,30.7,27.1
Massachusetts,Hampshire ,Hampshire,MassachusettsHampshire,22.6,48.3
Massachusetts,Middlesex ,Middlesex,MassachusettsMiddlesex,19,56.3
Massachusetts,Nantucket ,Nantucket,MassachusettsNantucket,19.8,52.8
Massachusetts,Norfolk ,Norfolk,MassachusettsNorfolk,19.2,53.6
Massachusetts,Plymouth ,Plymouth,MassachusettsPlymouth,27.8,37.6
Massachusetts,Suffolk ,Suffolk,MassachusettsSuffolk,22.1,46.1
Massachusetts,Worcester ,Worcester,MassachusettsWorcester,27.8,36.4
Michigan,Michigan,Michigan,MichiganMichigan,28.9,29.1
Michigan,Alcona ,Alcona,MichiganAlcona,39.3,16.9
Michigan,Alger ,Alger,MichiganAlger,45.2,17.4
Michigan,Allegan ,Allegan,MichiganAllegan,37.9,22.6
Michigan,Alpena ,Alpena,MichiganAlpena,33.7,18
Michigan,Antrim ,Antrim,MichiganAntrim,31.5,28.8
Michigan,Arenac ,Arenac,MichiganArenac,41.9,12.6
Michigan,Baraga ,Baraga,MichiganBaraga,40.6,15.8
Michigan,Barry ,Barry,MichiganBarry,37.7,21.1
Michigan,Bay ,Bay,MichiganBay,34.6,19.3
Michigan,Benzie ,Benzie,MichiganBenzie,31.2,30.3
Michigan,Berrien ,Berrien,MichiganBerrien,28.1,27.8
Michigan,Branch ,Branch,MichiganBranch,41.5,14.4
Michigan,Calhoun ,Calhoun,MichiganCalhoun,36.8,21
Michigan,Cass ,Cass,MichiganCass,33.2,19.2
Michigan,Charlevoix ,Charlevoix,MichiganCharlevoix,29.7,31.1
Michigan,Cheboygan ,Cheboygan,MichiganCheboygan,38,20.7
Michigan,Chippewa ,Chippewa,MichiganChippewa,34.1,21.2
Michigan,Clare ,Clare,MichiganClare,36.6,12.6
Michigan,Clinton ,Clinton,MichiganClinton,26.8,32.1
Michigan,Crawford ,Crawford,MichiganCrawford,33,19.4
Michigan,Delta ,Delta,MichiganDelta,33.8,21
Michigan,Dickinson ,Dickinson,MichiganDickinson,33.2,25.7
Michigan,Eaton ,Eaton,MichiganEaton,27.7,27.8
Michigan,Emmet ,Emmet,MichiganEmmet,24.7,33.4
Michigan,Genesee ,Genesee,MichiganGenesee,31.6,21.2
Michigan,Gladwin ,Gladwin,MichiganGladwin,39.3,13.5
Michigan,Gogebic ,Gogebic,MichiganGogebic,37.3,19.4
Michigan,Grand Traverse ,Grand,MichiganGrand,24,36
Michigan,Gratiot ,Gratiot,MichiganGratiot,40.4,15.4
Michigan,Hillsdale ,Hillsdale,MichiganHillsdale,38.9,17.3
Michigan,Houghton ,Houghton,MichiganHoughton,33.1,32.6
Michigan,Huron ,Huron,MichiganHuron,41.6,16
Michigan,Ingham ,Ingham,MichiganIngham,22,38.9
Michigan,Ionia ,Ionia,MichiganIonia,39.1,16.4
Michigan,Iosco ,Iosco,MichiganIosco,38.3,15.9
Michigan,Iron ,Iron,MichiganIron,41.9,18.5
Michigan,Isabella ,Isabella,MichiganIsabella,31.8,29.1
Michigan,Jackson ,Jackson,MichiganJackson,32.6,22.2
Michigan,Kalamazoo ,Kalamazoo,MichiganKalamazoo,22,38.8
Michigan,Kalkaska ,Kalkaska,MichiganKalkaska,42.1,11.9
Michigan,Kent ,Kent,MichiganKent,24.1,35.7
Michigan,Keweenaw ,Keweenaw,MichiganKeweenaw,35.4,32
Michigan,Lake ,Lake,MichiganLake,40.6,11.9
Michigan,Lapeer ,Lapeer,MichiganLapeer,35.8,18.3
Michigan,Leelanau ,Leelanau,MichiganLeelanau,21.6,44.7
Michigan,Lenawee ,Lenawee,MichiganLenawee,36.9,21
Michigan,Livingston ,Livingston,MichiganLivingston,25.8,35.4
Michigan,Luce ,Luce,MichiganLuce,36.8,18.4
Michigan,Mackinac ,Mackinac,MichiganMackinac,34,23.3
Michigan,Macomb ,Macomb,MichiganMacomb,29.7,24.9
Michigan,Manistee ,Manistee,MichiganManistee,35.6,20.3
Michigan,Marquette ,Marquette,MichiganMarquette,30.9,32.9
Michigan,Mason ,Mason,MichiganMason,34.5,23.1
Michigan,Mecosta ,Mecosta,MichiganMecosta,36,22.7
Michigan,Menominee ,Menominee,MichiganMenominee,42.5,16.3
Michigan,Midland ,Midland,MichiganMidland,28.9,35.2
Michigan,Missaukee ,Missaukee,MichiganMissaukee,41.9,14
Michigan,Monroe ,Monroe,MichiganMonroe,35.2,20.5
Michigan,Montcalm ,Montcalm,MichiganMontcalm,40.4,13.3
Michigan,Montmorency ,Montmorency,MichiganMontmorency,42.9,13.7
Michigan,Muskegon ,Muskegon,MichiganMuskegon,34,19.7
Michigan,Newaygo ,Newaygo,MichiganNewaygo,40.4,16.6
Michigan,Oakland ,Oakland,MichiganOakland,18.6,47.2
Michigan,Oceana ,Oceana,MichiganOceana,36.3,19.5
Michigan,Ogemaw ,Ogemaw,MichiganOgemaw,38.2,12.2
Michigan,Ontonagon ,Ontonagon,MichiganOntonagon,43.4,16.5
Michigan,Osceola ,Osceola,MichiganOsceola,43.8,14.2
Michigan,Oscoda ,Oscoda,MichiganOscoda,37.4,10.6
Michigan,Otsego ,Otsego,MichiganOtsego,33.1,23.6
Michigan,Ottawa ,Ottawa,MichiganOttawa,28.2,34.1
Michigan,Presque Isle ,Presque,MichiganPresque,38.2,17.9
Michigan,Roscommon ,Roscommon,MichiganRoscommon,38.4,15.5
Michigan,Saginaw ,Saginaw,MichiganSaginaw,33.3,20.8
Michigan,St. Clair ,St.,MichiganSt.,34,18.6
Michigan,St. Joseph ,St.,MichiganSt.,36.6,16.2
Michigan,Sanilac ,Sanilac,MichiganSanilac,41.2,14.2
Michigan,Schoolcraft ,Schoolcraft,MichiganSchoolcraft,44.1,15.6
Michigan,Shiawassee ,Shiawassee,MichiganShiawassee,37.3,17
Michigan,Tuscola ,Tuscola,MichiganTuscola,42.4,13.5
Michigan,Van Buren ,Van,MichiganVan,31.3,21.7
Michigan,Washtenaw ,Washtenaw,MichiganWashtenaw,14.6,55.9
Michigan,Wayne ,Wayne,MichiganWayne,30.1,23.9
Michigan,Wexford ,Wexford,MichiganWexford,36.4,18.2
Minnesota,Minnesota,Minnesota,MinnesotaMinnesota,24.6,36.1
Minnesota,Aitkin ,Aitkin,MinnesotaAitkin,36.9,18.1
Minnesota,Anoka ,Anoka,MinnesotaAnoka,27.9,30.5
Minnesota,Becker ,Becker,MinnesotaBecker,31.6,25
Minnesota,Beltrami ,Beltrami,MinnesotaBeltrami,27.8,29.2
Minnesota,Benton ,Benton,MinnesotaBenton,29.9,23.6
Minnesota,Big Stone ,Big,MinnesotaBig,45,15.4
Minnesota,Blue Earth ,Blue,MinnesotaBlue,26.5,34.8
Minnesota,Brown ,Brown,MinnesotaBrown,36.1,22.2
Minnesota,Carlton ,Carlton,MinnesotaCarlton,32.1,22.1
Minnesota,Carver ,Carver,MinnesotaCarver,18.2,48.9
Minnesota,Cass ,Cass,MinnesotaCass,32.3,23.2
Minnesota,Chippewa ,Chippewa,MinnesotaChippewa,34.1,19
Minnesota,Chisago ,Chisago,MinnesotaChisago,33.8,21.5
Minnesota,Clay ,Clay,MinnesotaClay,23.7,34.2
Minnesota,Clearwater ,Clearwater,MinnesotaClearwater,34.9,17.1
Minnesota,Cook ,Cook,MinnesotaCook,24,40.4
Minnesota,Cottonwood ,Cottonwood,MinnesotaCottonwood,36,20
Minnesota,Crow Wing ,Crow,MinnesotaCrow,29.9,24.7
Minnesota,Dakota ,Dakota,MinnesotaDakota,20.4,42.2
Minnesota,Dodge ,Dodge,MinnesotaDodge,33.3,25.7
Minnesota,Douglas ,Douglas,MinnesotaDouglas,29.1,26
Minnesota,Faribault ,Faribault,MinnesotaFaribault,37.7,18.6
Minnesota,Fillmore ,Fillmore,MinnesotaFillmore,34.1,22.2
Minnesota,Freeborn ,Freeborn,MinnesotaFreeborn,35,17.1
Minnesota,Goodhue ,Goodhue,MinnesotaGoodhue,32.8,26
Minnesota,Grant ,Grant,MinnesotaGrant,33.3,18.8
Minnesota,Hennepin ,Hennepin,MinnesotaHennepin,16.4,50.1
Minnesota,Houston ,Houston,MinnesotaHouston,34.2,24.8
Minnesota,Hubbard ,Hubbard,MinnesotaHubbard,31.2,27.4
Minnesota,Isanti ,Isanti,MinnesotaIsanti,34.6,18.5
Minnesota,Itasca ,Itasca,MinnesotaItasca,30,23.1
Minnesota,Jackson ,Jackson,MinnesotaJackson,32.7,22.6
Minnesota,Kanabec ,Kanabec,MinnesotaKanabec,39.4,14.7
Minnesota,Kandiyohi ,Kandiyohi,MinnesotaKandiyohi,25.9,23.3
Minnesota,Kittson ,Kittson,MinnesotaKittson,36.2,25.9
Minnesota,Koochiching ,Koochiching,MinnesotaKoochiching,35.7,15.5
Minnesota,Lac qui Parle ,Lac,MinnesotaLac,37,18.8
Minnesota,Lake ,Lake,MinnesotaLake,30.9,28.8
Minnesota,Lake of the Woods ,Lake,MinnesotaLake,38.6,16.7
Minnesota,Le Sueur ,Le,MinnesotaLe,35.8,23
Minnesota,Lincoln ,Lincoln,MinnesotaLincoln,38.3,19.3
Minnesota,Lyon ,Lyon,MinnesotaLyon,31.7,26.1
Minnesota,McLeod ,McLeod,MinnesotaMcLeod,36,17.6
Minnesota,Mahnomen ,Mahnomen,MinnesotaMahnomen,36.7,13.2
Minnesota,Marshall ,Marshall,MinnesotaMarshall,36.9,19.1
Minnesota,Martin ,Martin,MinnesotaMartin,37.9,20.5
Minnesota,Meeker ,Meeker,MinnesotaMeeker,35.3,19.5
Minnesota,Mille Lacs ,Mille,MinnesotaMille,38.6,14.7
Minnesota,Morrison ,Morrison,MinnesotaMorrison,38.3,17.3
Minnesota,Mower ,Mower,MinnesotaMower,32,22.2
Minnesota,Murray ,Murray,MinnesotaMurray,36.3,20.7
Minnesota,Nicollet ,Nicollet,MinnesotaNicollet,25.2,33.8
Minnesota,Nobles ,Nobles,MinnesotaNobles,31.3,15.3
Minnesota,Norman ,Norman,MinnesotaNorman,36.9,19.1
Minnesota,Olmsted ,Olmsted,MinnesotaOlmsted,19.9,44.9
Minnesota,Otter Tail ,Otter,MinnesotaOtter,29.5,24.9
Minnesota,Pennington ,Pennington,MinnesotaPennington,33.1,19.3
Minnesota,Pine ,Pine,MinnesotaPine,40.7,14.9
Minnesota,Pipestone ,Pipestone,MinnesotaPipestone,35.5,21.3
Minnesota,Polk ,Polk,MinnesotaPolk,30.6,25.3
Minnesota,Pope ,Pope,MinnesotaPope,30.4,22.9
Minnesota,Ramsey ,Ramsey,MinnesotaRamsey,20.9,42.3
Minnesota,Red Lake ,Red,MinnesotaRed,37.5,16.2
Minnesota,Redwood ,Redwood,MinnesotaRedwood,37.4,19.1
Minnesota,Renville ,Renville,MinnesotaRenville,36.6,15.2
Minnesota,Rice ,Rice,MinnesotaRice,31.4,28.3
Minnesota,Rock ,Rock,MinnesotaRock,33,23.8
Minnesota,Roseau ,Roseau,MinnesotaRoseau,35.1,20.3
Minnesota,St. Louis ,St.,MinnesotaSt.,27.2,29.3
Minnesota,Scott ,Scott,MinnesotaScott,22.2,39.9
Minnesota,Sherburne ,Sherburne,MinnesotaSherburne,28.5,26.6
