,State,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
168,Arkansas,"Perry County, AR",Perry,ArkansasPerry,3956,232
169,Arkansas,"Phillips County, AR",Phillips,ArkansasPhillips,5822,580
170,Arkansas,"Pike County, AR",Pike,ArkansasPike,4020,252
171,Arkansas,"Poinsett County, AR",Poinsett,ArkansasPoinsett,9374,545
172,Arkansas,"Polk County, AR",Polk,ArkansasPolk,7482,531
173,Arkansas,"Pope County, AR",Pope,ArkansasPope,26138,1637
174,Arkansas,"Prairie County, AR",Prairie,ArkansasPrairie,3415,193
175,Arkansas,"Pulaski County, AR",Pulaski,ArkansasPulaski,174884,14044
176,Arkansas,"Randolph County, AR",Randolph,ArkansasRandolph,7005,439
177,Arkansas,"St. Francis County, AR",St.,ArkansasSt.,7394,634
178,Arkansas,"Saline County, AR",Saline,ArkansasSaline,55241,2940
179,Arkansas,"Scott County, AR",Scott,ArkansasScott,4159,195
180,Arkansas,"Searcy County, AR",Searcy,ArkansasSearcy,2701,184
181,Arkansas,"Sebastian County, AR",Sebastian,ArkansasSebastian,52803,3355
182,Arkansas,"Sevier County, AR",Sevier,ArkansasSevier,5202,322
183,Arkansas,"Sharp County, AR",Sharp,ArkansasSharp,5309,408
184,Arkansas,"Stone County, AR",Stone,ArkansasStone,4290,328
185,Arkansas,"Union County, AR",Union,ArkansasUnion,14325,1297
186,Arkansas,"Van Buren County, AR",Van,ArkansasVan,5349,409
187,Arkansas,"Washington County, AR",Washington,ArkansasWashington,120346,5795
188,Arkansas,"White County, AR",White,ArkansasWhite,31855,2117
189,Arkansas,"Woodruff County, AR",Woodruff,ArkansasWoodruff,2631,163
190,Arkansas,"Yell County, AR",Yell,ArkansasYell,7592,405
191,California,California,California,CaliforniaCalifornia,16913078,1908089
192,California,"Alameda County, CA",Alameda,CaliforniaAlameda,742411,71396
193,California,"Alpine County, CA",Alpine,CaliforniaAlpine,459,58
194,California,"Amador County, CA",Amador,CaliforniaAmador,13107,1317
195,California,"Butte County, CA",Butte,CaliforniaButte,84095,8509
196,California,"Calaveras County, CA",Calaveras,CaliforniaCalaveras,19588,1619
