State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed
Indiana,Boone,IndianaBoone,101,48,32,19.5,49.3,34064,1522
Indiana,Brown,IndianaBrown,80,44,33,32.9,28.9,7062,506
Indiana,Carroll,IndianaCarroll,100,44,31,40.8,16.7,9076,583
Indiana,Clark,IndianaClark,91,58,42,34.6,21.2,56726,4412
Indiana,Daviess,IndianaDaviess,19,4,0,34,13.2,15891,632
Indiana,Delaware,IndianaDelaware,97,50,35,35.1,23.7,48633,3833
Indiana,Dubois,IndianaDubois,67,54,33,38.3,23.7,21569,1026
Indiana,Elkhart,IndianaElkhart,158,54,36,34.7,19.8,102155,8339
Indiana,Floyd,IndianaFloyd,143,44,32,30.9,29.6,38422,2671
Indiana,Gibson,IndianaGibson,114,26,3,40.9,18,18332,1205
Indiana,Greene,IndianaGreene,90,50,34,41.1,14.9,12442,822
Indiana,Hamilton,IndianaHamilton,97,54,38,14.9,59.3,174455,8524
Indiana,Hendricks,IndianaHendricks,87,45,32,27.5,37,84885,4501
Indiana,Henry,IndianaHenry,63,51,29,43.7,16.4,20424,1442
Indiana,Howard,IndianaHoward,108,53,38,35.9,21.6,32921,4010
Indiana,Knox,IndianaKnox,105,48,33,35.8,16.9,17148,1080
Indiana,LaPorte,IndianaLaPorte,154,61,37,39.6,18,42924,4520
Indiana,Lake,IndianaLake,136,65,44,35.1,22.6,201989,23196
Indiana,Madison,IndianaMadison,97,55,39,39.4,18.4,54137,4621
Indiana,Marion,IndianaMarion,144,68,48,28,30.9,456145,38918
Indiana,Monroe,IndianaMonroe,69,51,31,22.2,45.7,64390,3765
Indiana,Perry,IndianaPerry,105,45,34,44.7,16.1,8495,594
Indiana,Porter,IndianaPorter,151,67,41,35,28.4,77220,6767
Indiana,Posey,IndianaPosey,112,45,31,38.2,21.9,12202,632
Indiana,Shelby,IndianaShelby,115,46,32,42.4,18.7,21443,1643
Indiana,Spencer,IndianaSpencer,63,53,32,46,15.2,9754,579
Indiana,St. Joseph,IndianaSt.,162,62,41,30.7,29.6,122197,11188
Indiana,Sullivan,IndianaSullivan,53,51,29,44.2,12.1,7352,551
Indiana,Tippecanoe,IndianaTippecanoe,69,56,39,25.4,38.7,88211,5936
Indiana,Vanderburgh,IndianaVanderburgh,101,57,39,32.5,27,85014,6559
Indiana,Vigo,IndianaVigo,112,57,40,32,25.1,42198,3616
Indiana,Wabash,IndianaWabash,97,49,35,42.6,18.1,13615,884
Indiana,Warrick,IndianaWarrick,112,47,33,31.3,30.3,29930,1724
Indiana,Whitley,IndianaWhitley,76,56,39,39.2,20.7,16139,1016
Iowa,Black Hawk,IowaBlack,91,53,32,30.5,29.1,63173,4145
Iowa,Bremer,IowaBremer,87,45,35,32.9,30.7,12967,533
Iowa,Cerro Gordo,IowaCerro,60,37,18,30.6,23.6,21893,1203
Iowa,Clinton,IowaClinton,87,56,37,38.8,17.9,20509,1480
Iowa,Harrison,IowaHarrison,87,49,37,37.2,19.5,6776,284
Iowa,Johnson,IowaJohnson,105,58,35,16.3,52.8,80056,4032
Iowa,Lee,IowaLee,73,52,30,40.8,16.4,14666,1027
Iowa,Linn,IowaLinn,105,60,40,27,33.1,111300,7553
Iowa,Montgomery,IowaMontgomery,76,51,35,35.2,18.5,4621,226
Iowa,Muscatine,IowaMuscatine,124,54,30,35.3,21.5,19796,1257
Iowa,Palo Alto,IowaPalo,87,51,36,29.2,25.5,4330,210
Iowa,Polk,IowaPolk,186,54,36,24.5,36.7,248931,15876
Iowa,Pottawattamie,IowaPottawattamie,77,52,31,32.7,21.5,44771,2478
Iowa,Scott,IowaScott,155,63,44,29.6,31.8,80541,5862
Iowa,Van Buren,IowaVan,87,49,36,38.9,14.4,3497,170
Iowa,Woodbury,IowaWoodbury,79,50,29,32.2,23.1,51606,2861
Kansas,Chase,KansasChase,58,38,18,29.1,25.5,1384,81
Kansas,Ford,KansasFord,79,29,11,25.3,17.7,16640,584
Kansas,Johnson,KansasJohnson,117,56,36,14.5,56,324544,17602
Kansas,Leavenworth,KansasLeavenworth,77,44,32,28.3,31.5,34611,2135
Kansas,Neosho,KansasNeosho,106,54,39,32.5,18.1,5845,401
Kansas,Sedgwick,KansasSedgwick,114,54,38,26.3,30.9,234769,22448
Kansas,Shawnee,KansasShawnee,169,58,39,31.4,30.9,85910,5433
Kansas,Sherman,KansasSherman,106,44,13,30.3,21.8,2795,99
Kansas,Sumner,KansasSumner,117,59,40,34.9,23.3,10126,891
Kansas,Trego,KansasTrego,147,51,37,31.1,24.8,1419,51
Kansas,Wyandotte,KansasWyandotte,116,63,44,32.1,18.1,72303,6089
Kentucky,Bell,KentuckyBell,71,46,33,38.5,9.2,7606,642
Kentucky,Boone,KentuckyBoone,87,50,36,27.5,32.1,66280,3791
Kentucky,Boyd,KentuckyBoyd,88,51,36,33.9,19.4,16086,1465
Kentucky,Bullitt,KentuckyBullitt,115,48,37,41.6,14.7,39359,2672
Kentucky,Campbell,KentuckyCampbell,93,54,39,28.2,36.3,46886,2761
Kentucky,Carter,KentuckyCarter,59,44,31,40.3,12.6,8663,923
Kentucky,Christian,KentuckyChristian,83,51,38,31,18.1,22662,1925
Kentucky,Daviess,KentuckyDaviess,105,54,38,34.1,22.9,42911,2799
Kentucky,Edmonson,KentuckyEdmonson,64,45,33,39.3,10.3,4247,352
Kentucky,Fayette,KentuckyFayette,84,51,38,19.6,43.6,162405,9879
Kentucky,Greenup,KentuckyGreenup,61,42,28,36,17.1,12064,1174
Kentucky,Hancock,KentuckyHancock,97,47,37,43.4,11.4,3575,233
Kentucky,Hardin,KentuckyHardin,80,51,38,30.4,22,44196,3385
Kentucky,Henderson,KentuckyHenderson,114,44,1,36,18.2,19643,1278
Kentucky,Jefferson,KentuckyJefferson,115,61,45,26.7,33.4,363770,26717
Kentucky,Jessamine,KentuckyJessamine,77,44,31,30.5,29.5,24689,1471
Kentucky,Livingston,KentuckyLivingston,105,47,37,43.6,11.8,3268,266
Kentucky,McCracken,KentuckyMcCracken,111,57,39,31.4,24.2,26435,2051
Kentucky,Morgan,KentuckyMorgan,64,44,33,41.4,12.5,4052,300
Kentucky,Oldham,KentuckyOldham,97,49,38,20.7,42.4,30867,1571
Kentucky,Perry,KentuckyPerry,99,48,34,33,14.4,7453,728
Kentucky,Pike,KentuckyPike,92,45,32,39.4,13,17574,1622
Kentucky,Pulaski,KentuckyPulaski,77,48,36,35.7,16.5,23907,1888
Kentucky,Simpson,KentuckySimpson,67,46,36,44.9,14.2,7979,617
Kentucky,Trigg,KentuckyTrigg,84,45,34,33.2,16.6,5611,419
Kentucky,Warren,KentuckyWarren,97,53,38,26.6,32.2,59108,4148
Kentucky,Washington,KentuckyWashington,77,46,34,42.4,18.8,5718,381
Louisiana,Ascension,LouisianaAscension,100,46,31,32.3,26.4,59807,4329
Louisiana,Bossier,LouisianaBossier,105,53,36,29.7,25.2,53138,3612
Louisiana,Caddo,LouisianaCaddo,126,49,34,33.7,23.5,93384,9231
Louisiana,Calcasieu,LouisianaCalcasieu,116,61,41,34.1,22.3,89236,8874
Louisiana,East Baton Rouge,LouisianaEast,119,55,38,27.3,34.9,211197,17777
Louisiana,East Baton Rouge,LouisianaEast,119,55,38,27.3,34.9,1610,214
Louisiana,East Baton Rouge,LouisianaEast,119,55,38,27.3,34.9,7244,518
Louisiana,Iberville,LouisianaIberville,136,54,36,41.3,13.9,12601,1374
Louisiana,Jefferson,LouisianaJefferson,87,54,36,30.8,26.8,191934,19629
Louisiana,Jefferson,LouisianaJefferson,87,54,36,30.8,26.8,11863,964
Louisiana,Lafayette,LouisianaLafayette,120,59,40,30.4,33,105742,8069
Louisiana,Lafourche,LouisianaLafourche,115,56,39,40.5,16.9,38786,2689
Louisiana,Livingston,LouisianaLivingston,105,58,39,38.1,19.7,63874,4391
Louisiana,Orleans,LouisianaOrleans,88,47,28,22.8,37.6,159734,22134
Louisiana,Ouachita,LouisianaOuachita,111,45,32,34.1,24.2,64663,5160
Louisiana,Pointe Coupee,LouisianaPointe,100,45,32,39.3,14.9,8888,750
Louisiana,Rapides,LouisianaRapides,103,49,26,36.7,20.9,51714,3443
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,17984,2038
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,22715,1929
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,3805,494
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,8176,882
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,17294,2179
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,29611,2807
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,20268,1789
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,17722,1794
Louisiana,St. Bernard,LouisianaSt.,91,55,40,32.6,11.6,108590,7876
