,State,Area name,First Word of Each County,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
253,Georgia,Baker ,Baker,37.9,12.9
254,Georgia,Baldwin ,Baldwin,35.0,23.3
255,Georgia,Banks ,Banks,38.0,13.4
256,Georgia,Barrow ,Barrow,34.1,19.0
257,Georgia,Bartow ,Bartow,33.4,18.6
258,Georgia,Ben Hill ,Ben,45.3,11.2
259,Georgia,Berrien ,Berrien,42.4,11.4
260,Georgia,Bibb ,Bibb,30.5,25.4
261,Georgia,Bleckley ,Bleckley,40.9,18.7
262,Georgia,Brantley ,Brantley,44.6,8.9
263,Georgia,Brooks ,Brooks,35.0,17.8
264,Georgia,Bryan ,Bryan,24.3,33.1
265,Georgia,Bulloch ,Bulloch,27.2,27.0
266,Georgia,Burke ,Burke,38.3,13.2
267,Georgia,Butts ,Butts,44.7,12.2
268,Georgia,Calhoun ,Calhoun,36.7,9.1
269,Georgia,Camden ,Camden,32.2,23.9
270,Georgia,Candler ,Candler,37.3,13.0
271,Georgia,Carroll ,Carroll,33.4,21.1
272,Georgia,Catoosa ,Catoosa,32.9,21.4
273,Georgia,Charlton ,Charlton,40.1,8.8
274,Georgia,Chatham ,Chatham,24.2,33.6
275,Georgia,Chattahoochee ,Chattahoochee,28.3,29.5
276,Georgia,Chattooga ,Chattooga,40.1,8.9
277,Georgia,Cherokee ,Cherokee,22.4,38.2
278,Georgia,Clarke ,Clarke,19.9,44.0
279,Georgia,Clay ,Clay,36.3,12.5
280,Georgia,Clayton ,Clayton,33.6,19.5
281,Georgia,Clinch ,Clinch,33.9,10.0
282,Georgia,Cobb ,Cobb,18.5,47.4
283,Georgia,Coffee ,Coffee,37.2,13.0
284,Georgia,Colquitt ,Colquitt,38.8,12.8
285,Georgia,Columbia ,Columbia,23.8,36.4
286,Georgia,Cook ,Cook,36.3,13.5
287,Georgia,Coweta ,Coweta,28.6,30.3
288,Georgia,Crawford ,Crawford,40.0,10.5
289,Georgia,Crisp ,Crisp,37.6,14.1
290,Georgia,Dade ,Dade,37.7,15.2
291,Georgia,Dawson ,Dawson,29.1,30.6
292,Georgia,Decatur ,Decatur,36.7,13.8
293,Georgia,DeKalb ,DeKalb,20.9,44.2
294,Georgia,Dodge ,Dodge,44.2,14.3
295,Georgia,Dooly ,Dooly,41.1,12.1
296,Georgia,Dougherty ,Dougherty,30.2,21.4
297,Georgia,Douglas ,Douglas,30.4,28.2
298,Georgia,Early ,Early,37.1,15.1
299,Georgia,Echols ,Echols,41.9,9.7
300,Georgia,Effingham ,Effingham,37.5,20.0
301,Georgia,Elbert ,Elbert,40.9,11.6
302,Georgia,Emanuel ,Emanuel,40.8,13.0
303,Georgia,Evans ,Evans,38.9,15.8
304,Georgia,Fannin ,Fannin,33.5,21.8
305,Georgia,Fayette ,Fayette,20.9,46.2
306,Georgia,Floyd ,Floyd,34.3,20.9
307,Georgia,Forsyth ,Forsyth,15.6,53.1
308,Georgia,Franklin ,Franklin,39.4,15.9
309,Georgia,Fulton ,Fulton,17.7,52.9
310,Georgia,Gilmer ,Gilmer,35.4,20.4
311,Georgia,Glascock ,Glascock,40.9,11.6
312,Georgia,Glynn ,Glynn,26.7,29.9
313,Georgia,Gordon ,Gordon,34.9,14.7
314,Georgia,Grady ,Grady,39.2,13.9
315,Georgia,Greene ,Greene,33.4,26.9
316,Georgia,Gwinnett ,Gwinnett,22.3,36.9
317,Georgia,Habersham ,Habersham,34.7,19.3
318,Georgia,Hall ,Hall,27.7,24.5
319,Georgia,Hancock ,Hancock,43.1,8.6
320,Georgia,Haralson ,Haralson,36.1,14.8
321,Georgia,Harris ,Harris,23.7,31.4
322,Georgia,Hart ,Hart,36.9,15.7
323,Georgia,Heard ,Heard,45.1,8.7
324,Georgia,Henry ,Henry,31.7,28.5
325,Georgia,Houston ,Houston,27.0,28.3
326,Georgia,Irwin ,Irwin,40.2,15.1
327,Georgia,Jackson ,Jackson,32.1,22.7
328,Georgia,Jasper ,Jasper,38.1,14.2
329,Georgia,Jeff Davis ,Jeff,38.7,10.3
330,Georgia,Jefferson ,Jefferson,41.8,9.9
331,Georgia,Jenkins ,Jenkins,44.8,7.9
332,Georgia,Johnson ,Johnson,45.9,9.1
333,Georgia,Jones ,Jones,39.2,19.6
334,Georgia,Lamar ,Lamar,39.4,15.8
335,Georgia,Lanier ,Lanier,37.9,16.5
336,Georgia,Laurens ,Laurens,43.1,16.2
337,Georgia,Lee ,Lee,29.8,25.4
338,Georgia,Liberty ,Liberty,31.6,18.3
339,Georgia,Lincoln ,Lincoln,39.7,15.9
340,Georgia,Long ,Long,34.7,17.4
341,Georgia,Lowndes ,Lowndes,31.4,25.3
342,Georgia,Lumpkin ,Lumpkin,30.4,26.4
343,Georgia,McDuffie ,McDuffie,41.6,14.0
344,Georgia,McIntosh ,McIntosh,37.4,17.6
345,Georgia,Macon ,Macon,34.8,8.8
346,Georgia,Madison ,Madison,39.8,18.5
347,Georgia,Marion ,Marion,35.5,13.4
348,Georgia,Meriwether ,Meriwether,39.8,10.4
349,Georgia,Miller ,Miller,36.5,14.0
350,Georgia,Mitchell ,Mitchell,39.5,9.7
351,Georgia,Monroe ,Monroe,33.3,26.8
352,Georgia,Montgomery ,Montgomery,38.1,16.0
353,Georgia,Morgan ,Morgan,36.0,20.7
354,Georgia,Murray ,Murray,37.4,10.1
355,Georgia,Muscogee ,Muscogee,27.4,25.8
356,Georgia,Newton ,Newton,33.8,19.8
357,Georgia,Oconee ,Oconee,19.3,52.3
358,Georgia,Oglethorpe ,Oglethorpe,38.9,17.1
359,Georgia,Paulding ,Paulding,32.9,22.6
360,Georgia,Peach ,Peach,29.8,20.5
361,Georgia,Pickens ,Pickens,31.5,23.1
362,Georgia,Pierce ,Pierce,42.8,12.6
363,Georgia,Pike ,Pike,41.8,17.1
364,Georgia,Polk ,Polk,37.9,13.7
365,Georgia,Pulaski ,Pulaski,36.8,13.2
366,Georgia,Putnam ,Putnam,37.6,23.4
367,Georgia,Quitman ,Quitman,35.4,7.1
368,Georgia,Rabun ,Rabun,33.1,24.2
369,Georgia,Randolph ,Randolph,35.8,10.3
370,Georgia,Richmond ,Richmond,31.4,21.4
371,Georgia,Rockdale ,Rockdale,31.5,26.3
372,Georgia,Schley ,Schley,34.8,13.3
373,Georgia,Screven ,Screven,41.5,15.4
374,Georgia,Seminole ,Seminole,38.3,16.2
375,Georgia,Spalding ,Spalding,39.8,17.8
376,Georgia,Stephens ,Stephens,38.6,21.0
377,Georgia,Stewart ,Stewart,36.4,12.2
378,Georgia,Sumter ,Sumter,34.7,18.3
379,Georgia,Talbot ,Talbot,45.5,12.1
380,Georgia,Taliaferro ,Taliaferro,46.2,8.1
381,Georgia,Tattnall ,Tattnall,38.1,13.2
382,Georgia,Taylor ,Taylor,37.5,12.6
383,Georgia,Telfair ,Telfair,47.2,8.6
384,Georgia,Terrell ,Terrell,32.3,11.2
385,Georgia,Thomas ,Thomas,31.5,24.7
386,Georgia,Tift ,Tift,34.7,18.1
387,Georgia,Toombs ,Toombs,37.5,16.2
388,Georgia,Towns ,Towns,29.9,30.1
389,Georgia,Treutlen ,Treutlen,40.8,12.4
390,Georgia,Troup ,Troup,35.1,19.0
391,Georgia,Turner ,Turner,38.0,11.7
392,Georgia,Twiggs ,Twiggs,38.5,11.8
393,Georgia,Union ,Union,34.0,22.5
394,Georgia,Upson ,Upson,38.4,13.4
395,Georgia,Walker ,Walker,35.2,16.6
396,Georgia,Walton ,Walton,36.0,21.7
397,Georgia,Ware ,Ware,39.2,15.2
398,Georgia,Warren ,Warren,39.8,12.3
399,Georgia,Washington ,Washington,44.7,12.3
400,Georgia,Wayne ,Wayne,42.0,13.0
401,Georgia,Webster ,Webster,40.7,14.7
402,Georgia,Wheeler ,Wheeler,50.5,13.6
403,Georgia,White ,White,30.9,22.7
404,Georgia,Whitfield ,Whitfield,29.4,15.7
405,Georgia,Wilcox ,Wilcox,45.6,12.2
406,Georgia,Wilkes ,Wilkes,44.0,13.8
407,Georgia,Wilkinson ,Wilkinson,50.3,10.9
408,Georgia,Worth ,Worth,42.7,11.0
