State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes),Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass,Percent of people in poverty 2019
Texas,Polk,TexasPolk,71,43,31,39.5,13.1,4.224144432,3.204662512,4.412930709,4.341612559,43.6,4.679763936,4.381512175,4.267077817,3.728597243,43267,22.8,22.8,23.7,17.9,12.8,4,29.1,1,1,23,6,0,0,0,11,0,34,25,0,0,0,0,0,1,0,0,4,1,32,15,0,0,0,16.7
Arkansas,Pulaski,ArkansasPulaski,132,59,42,26,34.3,5.242750078,4.147490821,5.275302139,5.311683945,36.9,5.594903899,5.218714018,4.795108025,4.99499864,48850,41.2,16.7,25.4,6.8,10,3.4,20.3,0,0,7,2,0,0,0,24,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14.6
Kentucky,Pulaski,KentuckyPulaski,77,48,36,35.7,16.5,4.378525082,3.27600199,4.498544872,4.513590454,41.9,4.807162809,4.498820378,4.405534178,3.753123245,35022,29.3,18.9,23.9,10.2,17.8,1.6,21,0,0,7,2,0,0,0,24,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,22.5
Arkansas,Union,ArkansasUnion,89,52,34,35.5,21.1,4.156094631,3.112939976,4.286276786,4.309630167,40.1,4.599140427,4.218745512,4.018950022,3.744996674,41106,33.4,13.4,25,11.4,16.8,1.7,19,0,0,11,0,0,0,0,2,1,36,6,2,3,0,0,0,1,0,0,0,0,8,17,0,0,0,18.9
New Jersey,Union,New JerseyUnion,111,56,38,28.6,36,5.395974293,4.43679851,5.430478188,5.452730728,38.5,5.742776961,5.302246486,4.787325844,5.135193098,73376,37.1,17.2,23.9,7.4,14.4,3.7,31.1,0,0,11,0,0,0,0,2,1,36,6,2,3,0,0,0,1,0,0,0,0,8,17,0,0,0,9.1
North Carolina,Union,North CarolinaUnion,50,44,31,24.6,35.4,5.056622849,3.860158261,5.047889845,5.060833772,38,5.355440026,5.11218592,4.901883145,4.683038028,70858,39.3,15.1,24.1,9.1,12.5,7.2,29.5,0,0,11,0,0,0,0,2,1,36,6,2,3,0,0,0,1,0,0,0,0,8,17,0,0,0,7.3
South Dakota,Union,South DakotaUnion,141,53,36,29.5,30.6,3.907841143,2.63748973,3.886095732,3.874133779,40.6,4.181185934,3.947188566,3.774078801,3.435366507,65434,38.9,14.1,22.3,10.1,14.6,4.8,19.6,0,0,11,0,0,0,0,2,1,36,6,2,3,0,0,0,1,0,0,0,0,8,17,0,0,0,6.3
Arkansas,Washington,ArkansasWashington,150,52,39,25.7,33.3,5.08043166,3.76305344,5.057593842,5.058228573,31.8,5.358941319,4.970658303,4.67420875,4.636758619,47452,37.5,16.1,22.8,9.5,14.2,3.5,21.5,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,15.1
Georgia,Washington,GeorgiaWashington,112,54,32,44.7,12.3,3.811976944,2.648360011,4.015401674,4.004321374,40.6,4.310926855,3.975845225,3.668665415,3.674861141,38097,28.2,19.7,23.7,10,18.5,1.8,21.5,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,21.4
Kentucky,Washington,KentuckyWashington,77,46,34,42.4,18.8,3.757244151,2.580924976,3.768268016,3.789157492,40.7,4.079868335,3.793999801,3.651471852,3.215901813,47843,26.8,15.7,18.5,12.2,26.9,4,26.5,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,14.4
