,State,County,First Word of Each County,Year,Max AQI,90th Percentile AQI,Median AQI
419,Michigan,Macomb,Macomb,2020,126,60,36
420,Michigan,Manistee,Manistee,2020,80,41,28
421,Michigan,Mason,Mason,2020,159,49,37
422,Michigan,Missaukee,Missaukee,2020,105,52,36
423,Michigan,Monroe,Monroe,2020,66,14,1
424,Michigan,Muskegon,Muskegon,2020,143,64,37
425,Michigan,Oakland,Oakland,2020,126,59,36
426,Michigan,Ottawa,Ottawa,2020,150,56,33
427,Michigan,Schoolcraft,Schoolcraft,2020,133,44,33
428,Michigan,St. Clair,St.,2020,114,60,35
429,Michigan,Tuscola,Tuscola,2020,101,44,32
430,Michigan,Washtenaw,Washtenaw,2020,157,58,38
431,Michigan,Wayne,Wayne,2020,179,73,48
432,Michigan,Wexford,Wexford,2020,100,44,33
433,Minnesota,Anoka,Anoka,2020,87,52,35
434,Minnesota,Becker,Becker,2020,101,46,32
435,Minnesota,Beltrami,Beltrami,2020,73,39,23
436,Minnesota,Carlton,Carlton,2020,84,42,24
437,Minnesota,Cass,Cass,2020,75,35,17
438,Minnesota,Cook,Cook,2020,53,21,10
439,Minnesota,Crow Wing,Crow,2020,76,42,28
440,Minnesota,Dakota,Dakota,2020,135,52,30
441,Minnesota,Goodhue,Goodhue,2020,87,46,35
442,Minnesota,Hennepin,Hennepin,2020,156,57,38
443,Minnesota,Lake,Lake,2020,71,42,30
444,Minnesota,Lyon,Lyon,2020,80,48,32
445,Minnesota,Mille Lacs,Mille,2020,87,44,33
446,Minnesota,Olmsted,Olmsted,2020,111,52,35
447,Minnesota,Ramsey,Ramsey,2020,160,54,30
448,Minnesota,Saint Louis,Saint,2020,104,49,36
449,Minnesota,Scott,Scott,2020,121,49,32
450,Minnesota,Stearns,Stearns,2020,80,47,33
451,Minnesota,Washington,Washington,2020,77,42,24
452,Minnesota,Winona,Winona,2020,52,27,16
453,Minnesota,Wright,Wright,2020,112,51,34
454,Mississippi,Bolivar,Bolivar,2020,85,56,39
455,Mississippi,DeSoto,DeSoto,2020,100,54,37
456,Mississippi,Forrest,Forrest,2020,97,59,36
457,Mississippi,Hancock,Hancock,2020,88,54,38
