,State,County,First Word of Each County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI
138,Florida,Citrus,Citrus,FloridaCitrus,2020,125,54,32
139,Florida,Collier,Collier,FloridaCollier,2020,85,54,36
140,Florida,Columbia,Columbia,FloridaColumbia,2020,158,56,36
141,Florida,Duval,Duval,FloridaDuval,2020,125,59,42
142,Florida,Escambia,Escambia,FloridaEscambia,2020,80,58,42
143,Florida,Flagler,Flagler,FloridaFlagler,2020,64,43,31
144,Florida,Hamilton,Hamilton,FloridaHamilton,2020,154,52,33
145,Florida,Highlands,Highlands,FloridaHighlands,2020,74,44,31
146,Florida,Hillsborough,Hillsborough,FloridaHillsborough,2020,112,61,43
147,Florida,Holmes,Holmes,FloridaHolmes,2020,138,54,38
148,Florida,Indian River,Indian,FloridaIndian,2020,87,47,37
149,Florida,Lake,Lake,FloridaLake,2020,87,45,32
150,Florida,Lee,Lee,FloridaLee,2020,100,50,36
151,Florida,Leon,Leon,FloridaLeon,2020,160,58,40
152,Florida,Liberty,Liberty,FloridaLiberty,2020,51,44,31
153,Florida,Manatee,Manatee,FloridaManatee,2020,97,44,33
154,Florida,Marion,Marion,FloridaMarion,2020,100,55,39
155,Florida,Martin,Martin,FloridaMartin,2020,95,52,36
156,Florida,Miami-Dade,Miami-Dade,FloridaMiami-Dade,2020,90,58,39
157,Florida,Nassau,Nassau,FloridaNassau,2020,157,34,4
158,Florida,Okaloosa,Okaloosa,FloridaOkaloosa,2020,74,46,34
159,Florida,Orange,Orange,FloridaOrange,2020,93,51,36
160,Florida,Osceola,Osceola,FloridaOsceola,2020,90,44,32
161,Florida,Palm Beach,Palm,FloridaPalm,2020,92,54,38
162,Florida,Pasco,Pasco,FloridaPasco,2020,77,46,35
163,Florida,Pinellas,Pinellas,FloridaPinellas,2020,100,56,40
164,Florida,Polk,Polk,FloridaPolk,2020,87,54,37
165,Florida,Putnam,Putnam,FloridaPutnam,2020,67,27,14
166,Florida,Santa Rosa,Santa,FloridaSanta,2020,84,57,40
167,Florida,Sarasota,Sarasota,FloridaSarasota,2020,90,55,38
168,Florida,Seminole,Seminole,FloridaSeminole,2020,84,49,36
169,Florida,St. Lucie,St.,FloridaSt.,2020,74,44,33
170,Florida,Volusia,Volusia,FloridaVolusia,2020,77,50,38
171,Florida,Wakulla,Wakulla,FloridaWakulla,2020,161,54,35
172,Georgia,Bibb,Bibb,GeorgiaBibb,2020,97,52,35
173,Georgia,Charlton,Charlton,GeorgiaCharlton,2020,139,34,20
174,Georgia,Chatham,Chatham,GeorgiaChatham,2020,131,58,39
175,Georgia,Chattooga,Chattooga,GeorgiaChattooga,2020,58,43,32
176,Georgia,Clarke,Clarke,GeorgiaClarke,2020,99,54,36
177,Georgia,Clayton,Clayton,GeorgiaClayton,2020,90,54,28
178,Georgia,Cobb,Cobb,GeorgiaCobb,2020,90,49,35
179,Georgia,Coffee,Coffee,GeorgiaCoffee,2020,108,42,25
180,Georgia,Columbia,Columbia,GeorgiaColumbia,2020,51,44,31
181,Georgia,Dawson,Dawson,GeorgiaDawson,2020,74,43,31
182,Georgia,DeKalb,DeKalb,GeorgiaDeKalb,2020,106,57,38
183,Georgia,Dougherty,Dougherty,GeorgiaDougherty,2020,114,61,37
184,Georgia,Douglas,Douglas,GeorgiaDouglas,2020,77,44,32
185,Georgia,Floyd,Floyd,GeorgiaFloyd,2020,80,52,30
186,Georgia,Fulton,Fulton,GeorgiaFulton,2020,125,62,43
187,Georgia,Glynn,Glynn,GeorgiaGlynn,2020,96,44,31
188,Georgia,Gwinnett,Gwinnett,GeorgiaGwinnett,2020,101,55,37
189,Georgia,Hall,Hall,GeorgiaHall,2020,98,55,33
190,Georgia,Henry,Henry,GeorgiaHenry,2020,95,50,32
191,Georgia,Houston,Houston,GeorgiaHouston,2020,114,57,35
192,Georgia,Lowndes,Lowndes,GeorgiaLowndes,2020,141,54,30
193,Georgia,Murray,Murray,GeorgiaMurray,2020,61,46,35
194,Georgia,Muscogee,Muscogee,GeorgiaMuscogee,2020,101,53,35
195,Georgia,Pike,Pike,GeorgiaPike,2020,64,44,33
196,Georgia,Richmond,Richmond,GeorgiaRichmond,2020,114,60,42
197,Georgia,Rockdale,Rockdale,GeorgiaRockdale,2020,77,46,34
198,Georgia,Sumter,Sumter,GeorgiaSumter,2020,64,44,32
199,Georgia,Walker,Walker,GeorgiaWalker,2020,84,53,30
200,Georgia,Washington,Washington,GeorgiaWashington,2020,112,54,32
201,Hawaii,Hawaii,Hawaii,HawaiiHawaii,2020,231,30,18
202,Hawaii,Honolulu,Honolulu,HawaiiHonolulu,2020,92,40,26
203,Hawaii,Kauai,Kauai,HawaiiKauai,2020,41,25,11
204,Hawaii,Maui,Maui,HawaiiMaui,2020,56,23,15
205,Idaho,Ada,Ada,IdahoAda,2020,185,72,40
206,Idaho,Bannock,Bannock,IdahoBannock,2020,161,61,41
207,Idaho,Benewah,Benewah,IdahoBenewah,2020,371,65,32
208,Idaho,Blaine,Blaine,IdahoBlaine,2020,167,43,15
209,Idaho,Boise,Boise,IdahoBoise,2020,198,68,35
210,Idaho,Bonner,Bonner,IdahoBonner,2020,190,52,25
211,Idaho,Bonneville,Bonneville,IdahoBonneville,2020,154,49,21
212,Idaho,Butte,Butte,IdahoButte,2020,152,50,40
213,Idaho,Canyon,Canyon,IdahoCanyon,2020,156,73,33
214,Idaho,Caribou,Caribou,IdahoCaribou,2020,109,24,6
215,Idaho,Custer,Custer,IdahoCuster,2020,126,59,5
216,Idaho,Franklin,Franklin,IdahoFranklin,2020,159,53,20
217,Idaho,Idaho,Idaho,IdahoIdaho,2020,191,60,36
218,Idaho,Jerome,Jerome,IdahoJerome,2020,37,19,10
219,Idaho,Kootenai,Kootenai,IdahoKootenai,2020,384,48,19
220,Idaho,Latah,Latah,IdahoLatah,2020,333,41,16
221,Idaho,Lemhi,Lemhi,IdahoLemhi,2020,163,77,35
