,Unnamed: 0_x,State_x,County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Unnamed: 0_y,State_y,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
124,131,Delaware,Sussex,DelawareSussex,2020,87,51,38,31.2,28.3,327,Delaware,"Sussex County, DE",Sussex,DelawareSussex,98014,7990
125,133,Florida,Alachua,FloridaAlachua,2020,105,52,36,21.2,43.3,333,Florida,"Alachua County, FL",Alachua,FloridaAlachua,127696,7235
126,134,Florida,Baker,FloridaBaker,2020,140,49,35,42.6,13.2,334,Florida,"Baker County, FL",Baker,FloridaBaker,11179,580
127,135,Florida,Bay,FloridaBay,2020,146,58,40,31.0,23.7,335,Florida,"Bay County, FL",Bay,FloridaBay,77746,5017
128,136,Florida,Brevard,FloridaBrevard,2020,84,52,39,28.3,30.2,337,Florida,"Brevard County, FL",Brevard,FloridaBrevard,262867,18724
129,137,Florida,Broward,FloridaBroward,2020,142,57,40,27.3,32.4,338,Florida,"Broward County, FL",Broward,FloridaBroward,930297,90289
130,138,Florida,Citrus,FloridaCitrus,2020,125,54,32,37.2,18.3,341,Florida,"Citrus County, FL",Citrus,FloridaCitrus,42582,3918
131,139,Florida,Collier,FloridaCollier,2020,85,54,36,25.8,36.4,343,Florida,"Collier County, FL",Collier,FloridaCollier,165287,12210
132,140,Florida,Columbia,FloridaColumbia,2020,158,56,36,36.7,14.9,344,Florida,"Columbia County, FL",Columbia,FloridaColumbia,27840,1726
133,141,Florida,Duval,FloridaDuval,2020,125,59,42,27.8,30.0,347,Florida,"Duval County, FL",Duval,FloridaDuval,452481,32633
134,142,Florida,Escambia,FloridaEscambia,2020,80,58,42,27.2,26.5,348,Florida,"Escambia County, FL",Escambia,FloridaEscambia,135108,9671
135,143,Florida,Flagler,FloridaFlagler,2020,64,43,31,34.3,25.1,349,Florida,"Flagler County, FL",Flagler,FloridaFlagler,43083,3553
136,144,Florida,Hamilton,FloridaHamilton,2020,154,52,33,45.4,7.9,355,Florida,"Hamilton County, FL",Hamilton,FloridaHamilton,3880,319
137,145,Florida,Highlands,FloridaHighlands,2020,74,44,31,38.8,17.2,359,Florida,"Highlands County, FL",Highlands,FloridaHighlands,31967,2674
138,146,Florida,Hillsborough,FloridaHillsborough,2020,112,61,43,27.1,33.5,360,Florida,"Hillsborough County, FL",Hillsborough,FloridaHillsborough,700764,53788
139,147,Florida,Holmes,FloridaHolmes,2020,138,54,38,40.7,10.7,361,Florida,"Holmes County, FL",Holmes,FloridaHolmes,6472,378
140,148,Florida,Indian River,FloridaIndian,2020,87,47,37,30.4,29.1,362,Florida,"Indian River County, FL",Indian,FloridaIndian,59482,4751
141,149,Florida,Lake,FloridaLake,2020,87,45,32,32.1,24.0,366,Florida,"Lake County, FL",Lake,FloridaLake,140383,13645
142,150,Florida,Lee,FloridaLee,2020,100,50,36,31.0,28.2,367,Florida,"Lee County, FL",Lee,FloridaLee,320161,25256
143,151,Florida,Leon,FloridaLeon,2020,160,58,40,19.0,46.2,368,Florida,"Leon County, FL",Leon,FloridaLeon,141883,8743
144,152,Florida,Liberty,FloridaLiberty,2020,51,44,31,45.8,14.4,370,Florida,"Liberty County, FL",Liberty,FloridaLiberty,2473,125
