County,State,Abbreviation,2019 Population _ Census
Norfolk, Virginia, VirginiaNorfolk,242742
Norton, Virginia, VirginiaNorton,3981
Petersburg, Virginia, VirginiaPetersburg,31346
Poquoson, Virginia, VirginiaPoquoson,12271
Portsmouth, Virginia, VirginiaPortsmouth,94398
Radford, Virginia, VirginiaRadford,18249
Richmond, Virginia, VirginiaRichmond,230436
Roanoke, Virginia, VirginiaRoanoke,99143
Salem, Virginia, VirginiaSalem,25301
Staunton, Virginia, VirginiaStaunton,24932
Suffolk, Virginia, VirginiaSuffolk,92108
Virginia, Virginia, VirginiaVirginia,449974
Waynesboro, Virginia, VirginiaWaynesboro,22630
Williamsburg, Virginia, VirginiaWilliamsburg,14954
Winchester, Virginia, VirginiaWinchester,28078
Adams, Washington, WashingtonAdams,19983
Asotin, Washington, WashingtonAsotin,22582
Benton, Washington, WashingtonBenton,204390
Chelan, Washington, WashingtonChelan,77200
Clallam, Washington, WashingtonClallam,77331
Clark, Washington, WashingtonClark,488241
Columbia, Washington, WashingtonColumbia,3985
Cowlitz, Washington, WashingtonCowlitz,110593
Douglas, Washington, WashingtonDouglas,43429
Ferry, Washington, WashingtonFerry,7627
Franklin, Washington, WashingtonFranklin,95222
Garfield, Washington, WashingtonGarfield,2225
Grant, Washington, WashingtonGrant,97733
Grays, Washington, WashingtonGrays,75061
Island, Washington, WashingtonIsland,85141
Jefferson, Washington, WashingtonJefferson,32221
King, Washington, WashingtonKing,2252782
Kitsap, Washington, WashingtonKitsap,271473
Kittitas, Washington, WashingtonKittitas,47935
Klickitat, Washington, WashingtonKlickitat,22425
Lewis, Washington, WashingtonLewis,80707
Lincoln, Washington, WashingtonLincoln,10939
Mason, Washington, WashingtonMason,66768
Okanogan, Washington, WashingtonOkanogan,42243
Pacific, Washington, WashingtonPacific,22471
Pend, Washington, WashingtonPend,13724
Pierce, Washington, WashingtonPierce,904980
SanJuan, Washington, WashingtonSanJuan,17582
Skagit, Washington, WashingtonSkagit,129205
Skamania, Washington, WashingtonSkamania,12083
Snohomish, Washington, WashingtonSnohomish,822083
Spokane, Washington, WashingtonSpokane,522798
Stevens, Washington, WashingtonStevens,45723
Thurston, Washington, WashingtonThurston,290536
Wahkiakum, Washington, WashingtonWahkiakum,4488
Walla, Washington, WashingtonWalla,60760
Whatcom, Washington, WashingtonWhatcom,229247
Whitman, Washington, WashingtonWhitman,50104
Yakima, Washington, WashingtonYakima,250873
Barbour, West Virginia, West VirginiaBarbour,16441
Berkeley, West Virginia, West VirginiaBerkeley,119171
Boone, West Virginia, West VirginiaBoone,21457
Braxton, West Virginia, West VirginiaBraxton,13957
Brooke, West Virginia, West VirginiaBrooke,21939
Cabell, West Virginia, West VirginiaCabell,91945
Calhoun, West Virginia, West VirginiaCalhoun,7109
Clay, West Virginia, West VirginiaClay,8508
Doddridge, West Virginia, West VirginiaDoddridge,8448
Fayette, West Virginia, West VirginiaFayette,42406
Gilmer, West Virginia, West VirginiaGilmer,7823
Grant, West Virginia, West VirginiaGrant,11568
Greenbrier, West Virginia, West VirginiaGreenbrier,34662
Hampshire, West Virginia, West VirginiaHampshire,23175
Hancock, West Virginia, West VirginiaHancock,28810
Hardy, West Virginia, West VirginiaHardy,13776
Harrison, West Virginia, West VirginiaHarrison,67256
Jackson, West Virginia, West VirginiaJackson,28576
Jefferson, West Virginia, West VirginiaJefferson,57146
Kanawha, West Virginia, West VirginiaKanawha,178124
Lewis, West Virginia, West VirginiaLewis,15907
Lincoln, West Virginia, West VirginiaLincoln,20409
Logan, West Virginia, West VirginiaLogan,32019
McDowell, West Virginia, West VirginiaMcDowell,17624
Marion, West Virginia, West VirginiaMarion,56072
Marshall, West Virginia, West VirginiaMarshall,30531
Mason, West Virginia, West VirginiaMason,26516
Mercer, West Virginia, West VirginiaMercer,58758
Mineral, West Virginia, West VirginiaMineral,26868
Mingo, West Virginia, West VirginiaMingo,23424
Monongalia, West Virginia, West VirginiaMonongalia,105612
Monroe, West Virginia, West VirginiaMonroe,13275
Morgan, West Virginia, West VirginiaMorgan,17884
Nicholas, West Virginia, West VirginiaNicholas,24496
Ohio, West Virginia, West VirginiaOhio,41411
Pendleton, West Virginia, West VirginiaPendleton,6969
Pleasants, West Virginia, West VirginiaPleasants,7460
Pocahontas, West Virginia, West VirginiaPocahontas,8247
Preston, West Virginia, West VirginiaPreston,33432
Putnam, West Virginia, West VirginiaPutnam,56450
Raleigh, West Virginia, West VirginiaRaleigh,73361
Randolph, West Virginia, West VirginiaRandolph,28695
Ritchie, West Virginia, West VirginiaRitchie,9554
Roane, West Virginia, West VirginiaRoane,13688
Summers, West Virginia, West VirginiaSummers,12573
Taylor, West Virginia, West VirginiaTaylor,16695
Tucker, West Virginia, West VirginiaTucker,6839
Tyler, West Virginia, West VirginiaTyler,8591
Upshur, West Virginia, West VirginiaUpshur,24176
Wayne, West Virginia, West VirginiaWayne,39402
Webster, West Virginia, West VirginiaWebster,8114
Wetzel, West Virginia, West VirginiaWetzel,15065
Wirt, West Virginia, West VirginiaWirt,5821
Wood, West Virginia, West VirginiaWood,83518
Wyoming, West Virginia, West VirginiaWyoming,20394
Adams, Wisconsin, WisconsinAdams,20220
Ashland, Wisconsin, WisconsinAshland,15562
Barron, Wisconsin, WisconsinBarron,45244
Bayfield, Wisconsin, WisconsinBayfield,15036
Brown, Wisconsin, WisconsinBrown,264542
Buffalo, Wisconsin, WisconsinBuffalo,13031
Burnett, Wisconsin, WisconsinBurnett,15414
Calumet, Wisconsin, WisconsinCalumet,50089
Chippewa, Wisconsin, WisconsinChippewa,64658
Clark, Wisconsin, WisconsinClark,34774
Columbia, Wisconsin, WisconsinColumbia,57532
Crawford, Wisconsin, WisconsinCrawford,16131
Dane, Wisconsin, WisconsinDane,546695
Dodge, Wisconsin, WisconsinDodge,87839
Door, Wisconsin, WisconsinDoor,27668
Douglas, Wisconsin, WisconsinDouglas,43150
Dunn, Wisconsin, WisconsinDunn,45368
Eau, Wisconsin, WisconsinEau,104646
Florence, Wisconsin, WisconsinFlorence,4295
Fond, Wisconsin, WisconsinFond,103403
Forest, Wisconsin, WisconsinForest,9004
Grant, Wisconsin, WisconsinGrant,51439
Green, Wisconsin, WisconsinGreen,36960
Green, Wisconsin, WisconsinGreen,18913
Iowa, Wisconsin, WisconsinIowa,23678
Iron, Wisconsin, WisconsinIron,5687
Jackson, Wisconsin, WisconsinJackson,20643
Jefferson, Wisconsin, WisconsinJefferson,84769
Juneau, Wisconsin, WisconsinJuneau,26687
Kenosha, Wisconsin, WisconsinKenosha,169561
Kewaunee, Wisconsin, WisconsinKewaunee,20434
La, Wisconsin, WisconsinLa,118016
Lafayette, Wisconsin, WisconsinLafayette,16665
Langlade, Wisconsin, WisconsinLanglade,19189
Lincoln, Wisconsin, WisconsinLincoln,27593
Manitowoc, Wisconsin, WisconsinManitowoc,78981
Marathon, Wisconsin, WisconsinMarathon,135692
Marinette, Wisconsin, WisconsinMarinette,40350
Marquette, Wisconsin, WisconsinMarquette,15574
Menominee, Wisconsin, WisconsinMenominee,4556
Milwaukee, Wisconsin, WisconsinMilwaukee,945726
Monroe, Wisconsin, WisconsinMonroe,46253
Oconto, Wisconsin, WisconsinOconto,37930
Oneida, Wisconsin, WisconsinOneida,35595
Outagamie, Wisconsin, WisconsinOutagamie,187885
Ozaukee, Wisconsin, WisconsinOzaukee,89221
Pepin, Wisconsin, WisconsinPepin,7287
Pierce, Wisconsin, WisconsinPierce,42754
Polk, Wisconsin, WisconsinPolk,43783
Portage, Wisconsin, WisconsinPortage,70772
Price, Wisconsin, WisconsinPrice,13351
Racine, Wisconsin, WisconsinRacine,196311
Richland, Wisconsin, WisconsinRichland,17252
Rock, Wisconsin, WisconsinRock,163354
Rusk, Wisconsin, WisconsinRusk,14178
St, Wisconsin, WisconsinSt,90687
Sauk, Wisconsin, WisconsinSauk,64442
Sawyer, Wisconsin, WisconsinSawyer,16558
Shawano, Wisconsin, WisconsinShawano,40899
Sheboygan, Wisconsin, WisconsinSheboygan,115340
Taylor, Wisconsin, WisconsinTaylor,20343
Trempealeau, Wisconsin, WisconsinTrempealeau,29649
Vernon, Wisconsin, WisconsinVernon,30822
Vilas, Wisconsin, WisconsinVilas,22195
Walworth, Wisconsin, WisconsinWalworth,103868
Washburn, Wisconsin, WisconsinWashburn,15720
Washington, Wisconsin, WisconsinWashington,136034
Waukesha, Wisconsin, WisconsinWaukesha,404198
Waupaca, Wisconsin, WisconsinWaupaca,50990
Waushara, Wisconsin, WisconsinWaushara,24443
Winnebago, Wisconsin, WisconsinWinnebago,171907
Wood, Wisconsin, WisconsinWood,72999
Albany, Wyoming, WyomingAlbany,38880
Big, Wyoming, WyomingBig,11790
Campbell, Wyoming, WyomingCampbell,46341
Carbon, Wyoming, WyomingCarbon,14800
Converse, Wyoming, WyomingConverse,13822
Crook, Wyoming, WyomingCrook,7584
Fremont, Wyoming, WyomingFremont,39261
Goshen, Wyoming, WyomingGoshen,13211
Hot, Wyoming, WyomingHot,4413
Johnson, Wyoming, WyomingJohnson,8445
Laramie, Wyoming, WyomingLaramie,99500
Lincoln, Wyoming, WyomingLincoln,19830
Natrona, Wyoming, WyomingNatrona,79858
Niobrara, Wyoming, WyomingNiobrara,2356
Park, Wyoming, WyomingPark,29194
Platte, Wyoming, WyomingPlatte,8393
Sheridan, Wyoming, WyomingSheridan,30485
Sublette, Wyoming, WyomingSublette,9831
Sweetwater, Wyoming, WyomingSweetwater,42343
Teton, Wyoming, WyomingTeton,23464
Uinta, Wyoming, WyomingUinta,20226
Washakie, Wyoming, WyomingWashakie,7805
Weston, Wyoming, WyomingWeston,6927
