,State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Unnamed: 0,county,state,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute
31,California,Amador,CaliforniaAmador,156,50,37,27.5,19.3,13107,1317,20302,17527,50.5,37829,52,Amador,California,22282.0,13571.0,8147.0,60636.0,2765.0,32.7,23.2,24.1,9.9,10.1,6.4,32.0
32,California,Butte,CaliforniaButte,379,110,51,22.5,27.2,84095,8509,112513,114562,37.1,227075,325,Butte,California,99780.0,47568.0,49402.0,46516.0,1130.0,35.9,22.2,22.7,9.2,10.1,5.7,20.1
33,California,Calaveras,CaliforniaCalaveras,192,77,44,28.0,18.3,19588,1619,22434,22801,52.1,45235,334,Calaveras,California,26717.0,16287.0,9845.0,54800.0,3529.0,35.6,18.4,22.9,11.6,11.5,8.3,35.5
34,California,Colusa,CaliforniaColusa,198,86,38,26.2,15.0,8824,1675,11124,10340,35.1,21464,610,Colusa,California,7672.0,4399.0,3114.0,56481.0,4858.0,24.2,19.2,16.6,26.2,13.8,4.5,24.7
35,California,Contra Costa,CaliforniaContra,197,74,41,17.3,42.4,493236,48020,553701,579546,39.4,1133247,619,Contra,California,567882.0,148623.0,407639.0,88456.0,822.0,43.0,18.0,23.1,7.9,7.9,6.3,37.1
36,California,Del Norte,CaliforniaDel,220,55,32,31.0,14.8,8466,884,14575,12849,38.6,27424,751,Del,California,11403.0,6434.0,4656.0,41287.0,4114.0,32.5,31.7,19.9,8.6,7.3,5.6,14.4
37,California,El Dorado,CaliforniaEl,190,90,43,21.3,34.3,83262,7490,93040,93621,45.8,186661,849,El,California,114766.0,60967.0,51157.0,74885.0,2565.0,41.4,19.0,24.2,8.2,7.0,8.3,29.1
38,California,Fresno,CaliforniaFresno,298,153,74,22.7,21.2,395258,50260,487936,490194,32.0,978130,980,Fresno,California,356004.0,160689.0,188224.0,48730.0,655.0,29.1,19.6,23.0,14.8,13.5,4.3,22.4
39,California,Glenn,CaliforniaGlenn,197,82,43,27.2,14.2,11455,1113,14171,13726,36.6,27897,1041,Glenn,California,10890.0,6854.0,3815.0,46260.0,3402.0,22.6,19.7,17.8,23.9,16.0,5.7,24.0
40,California,Humboldt,CaliforniaHumboldt,109,44,29,22.2,30.4,54446,4965,67666,68102,38.0,135768,1305,Humboldt,California,45961.0,13756.0,31010.0,43718.0,1579.0,33.9,23.1,23.6,10.3,9.1,7.4,18.2
41,California,Imperial,CaliforniaImperial,166,97,58,24.3,15.2,53949,15653,92250,87966,32.4,180216,1324,Imperial,California,38727.0,13401.0,24551.0,44779.0,1850.0,24.4,24.3,24.7,13.4,13.1,4.4,20.8
42,California,Inyo,CaliforniaInyo,684,130,52,28.6,27.2,7658,647,9084,9001,45.7,18085,1329,Inyo,California,9147.0,4436.0,4495.0,51500.0,4578.0,31.5,23.0,22.4,14.5,8.7,4.5,16.9
43,California,Kern,CaliforniaKern,267,140,81,27.8,16.4,335707,48062,452646,430407,31.5,883053,1478,Kern,California,183717.0,94844.0,84946.0,50826.0,771.0,26.4,18.4,20.6,21.2,13.4,3.2,23.4
44,California,Kings,CaliforniaKings,543,124,67,25.3,14.7,49883,6533,82674,67401,31.7,150075,1494,Kings,California,41933.0,23169.0,17729.0,49742.0,1744.0,24.4,21.4,20.8,19.5,13.8,5.0,22.4
45,California,Lake,CaliforniaLake,180,43,32,30.5,15.5,25567,2700,31879,32269,45.6,64148,1542,Lake,California,11038.0,3955.0,6874.0,40446.0,2857.0,25.8,26.5,21.4,16.1,10.1,12.5,28.9
46,California,Los Angeles,CaliforniaLos,235,165,83,20.6,32.5,4291688,629811,4976788,5121264,36.2,10098052,1696,Los,California,4139895.0,1107090.0,2947568.0,61015.0,262.0,36.4,19.0,24.1,7.6,12.8,5.3,30.9
47,California,Madera,CaliforniaMadera,250,113,61,24.9,14.6,55089,6649,74683,80330,33.9,155013,1733,Madera,California,52029.0,28458.0,22438.0,48210.0,2108.0,23.9,17.3,22.0,23.0,13.8,3.6,25.6
48,California,Marin,CaliforniaMarin,206,57,33,10.5,59.5,121476,8662,127113,133182,46.5,260295,1769,Marin,California,151603.0,23662.0,125172.0,104703.0,1763.0,53.8,14.4,21.4,5.7,4.6,10.7,31.7
49,California,Mariposa,CaliforniaMariposa,618,111,47,24.4,24.6,6381,781,8920,8620,51.4,17540,1788,Mariposa,California,10280.0,5950.0,4088.0,51385.0,3637.0,30.5,32.7,20.6,8.0,8.2,9.2,30.9
50,California,Mendocino,CaliforniaMendocino,456,76,34,25.0,24.4,33723,3292,43439,43983,42.8,87422,1871,Mendocino,California,25171.0,6312.0,18303.0,46528.0,1787.0,32.5,22.0,22.6,14.4,8.5,8.1,19.8
51,California,Merced,CaliforniaMerced,183,95,53,25.3,13.8,100755,13981,135816,133259,30.9,269075,1875,Merced,California,81356.0,35240.0,44260.0,46338.0,1301.0,23.4,19.0,21.6,19.1,17.0,3.4,27.0
52,California,Mono,CaliforniaMono,1928,199,40,24.2,28.8,6917,929,7341,6833,38.3,14174,1932,Mono,California,6713.0,2504.0,3998.0,60595.0,6356.0,37.0,30.3,18.0,7.3,7.3,9.3,16.1
53,California,Monterey,CaliforniaMonterey,250,63,36,20.3,24.7,190389,23082,220967,212245,34.1,433212,1954,Monterey,California,155994.0,43439.0,109145.0,63249.0,1209.0,28.5,20.1,20.2,20.4,10.9,4.6,22.4
54,California,Napa,CaliforniaNapa,199,62,36,17.8,35.7,62853,6014,70082,70448,41.1,140530,2021,Napa,California,67847.0,19388.0,46962.0,79637.0,1895.0,36.3,21.2,21.5,10.7,10.3,5.6,24.1
55,California,Nevada,CaliforniaNevada,252,90,41,18.4,37.2,42787,3702,48889,50203,50.1,99092,2038,Nevada,California,54177.0,22059.0,30860.0,60610.0,2262.0,41.3,20.3,22.7,8.3,7.5,10.4,24.5
56,California,Orange,CaliforniaOrange,218,108,51,17.2,40.6,1416738,136563,1562429,1601753,37.8,3164182,2117,Orange,California,1503039.0,667038.0,805222.0,81851.0,570.0,40.9,17.5,24.8,6.6,10.2,5.6,27.4
