State,Area,2019 Gross Domestic Product (Thousands of Chained (2012) Dollars))
Lavaca,,1671655
Lee,,981651
Leon,,943624
Liberty,,2019615
Limestone,,1568325
Lipscomb,,802246
Live,,2533580
Llano,,662458
Loving,,10114468
Lubbock,,12583659
Lynn,,271089
McCulloch,,337154
McLennan,,11475725
McMullen,,3450145
Madison,,858701
Marion,,282579
Martin,,12836342
Mason,,125396
Matagorda,,2130241
Maverick,,1659423
Medina,,932056
Menard,,56296
Midland,,29800548
Milam,,661403
Mills,,179402
Mitchell,,473663
Montague,,988516
Montgomery,,26608080
Moore,,2661614
Morris,,733044
Motley,,33606
Nacogdoches,,2656946
Navarro,,1557660
Newton,,519674
Nolan,,1019287
Nueces,,19396867
Ochiltree,,1474669
Oldham,,339263
Orange,,3551082
Palo,,1071304
Panola,,3093874
Parker,,3998281
Parmer,,1150418
Pecos,,3973700
Polk,,1246897
Potter,,7717554
Presidio,,250526
Rains,,193389
Randall,,3591737
Reagan,,6430657
Real,,68586
Red,,292218
Reeves,,16078286
Refugio,,503454
Roberts,,930064
Robertson,,2844267
Rockwall,,3019931
Runnels,,339181
Rusk,,2797617
Sabine,,255928
SanAugustine,,1238645
SanJacinto,,323726
SanPatricio,,2555679
SanSaba,,174901
Schleicher,,191740
Scurry,,2405286
Shackelford,,298075
Shelby,,1503178
Sherman,,523876
Smith,,10389548
Somervell,,1110367
Starr,,1457195
Stephens,,548501
Sterling,,312247
Stonewall,,271567
Sutton,,368339
Swisher,,658065
Tarrant,,106860255
Taylor,,6079138
Terrell,,162027
Terry,,817722
Throckmorton,,146955
Titus,,1796056
Tom,,5388284
Travis,,112944854
Trinity,,224569
Tyler,,447315
Upshur,,876982
Upton,,8124041
Uvalde,,871238
Val,,1721857
Van,,1167200
Victoria,,4191127
Walker,,2019247
Waller,,2341706
Ward,,5888166
Washington,,1732382
Webb,,12348848
Wharton,,1966231
Wheeler,,944486
Wichita,,5525214
Wilbarger,,781801
Willacy,,535808
Williamson,,20884833
Wilson,,1125583
Winkler,,2377053
Wise,,3505772
Wood,,1725683
Yoakum,,3432549
Young,,893312
Zapata,,861213
Zavala,,1043115
,,
Utah,,168792742
Beaver,,432800
Box,,2433715
Cache,,5135751
Carbon,,997957
Daggett,,175594
Davis,,13874106
Duchesne,,1211768
Emery,,852885
Garfield,,242701
Grand,,590150
Iron,,1740548
Juab,,453773
Kane,,300442
Millard,,809726
Morgan,,266634
Piute,,73881
Rich,,159404
Salt,,86424082
SanJuan,,512921
Sanpete,,829565
Sevier,,1036601
Summit,,3206102
Tooele,,1709909
Uintah,,1881677
Utah,,25899184
Wasatch,,888304
Washington,,5622666
Wayne,,113378
Weber,,10575618
,,
Vermont,,29806164
Addison,,1594564
Bennington,,1564682
Caledonia,,996310
Chittenden,,10471481
Essex,,136293
Franklin,,1890595
Grand,,172336
Lamoille,,1048665
Orange,,745980
Orleans,,968088
Rutland,,2399304
Washington,,3410986
Windham,,2071743
Windsor,,2346065
,,
Virginia,,489168430
Accomack,,1372202
Amelia,,285987
Amherst,,784099
Appomattox,,263553
Arlington,,32564585
Bath,,192342
Bedford,,1897197
Bland,,208390
Botetourt,,1179581
Brunswick,,755023
Buchanan,,1130462
Buckingham,,514768
Caroline,,612103
Charles,,181485
Charlotte,,267497
Chesterfield,,13613556
Clarke,,446041
Craig,,91772
Culpeper,,1639788
Cumberland,,158628
Dickenson,,539758
Essex,,369306
Fauquier,,2482156
Floyd,,347336
Fluvanna,,760396
Franklin,,1364606
Giles,,468317
Gloucester,,838162
Goochland,,2163885
Grayson,,319547
Greene,,389691
Halifax,,1187152
Hanover,,5312349
Henrico,,26814535
Highland,,70766
Isle,,1388560
King,,128022
King,,1708441
King,,440874
Lancaster,,425274
Lee,,444426
Loudoun,,25667853
Louisa,,1891225
Lunenburg,,245376
Madison,,331218
Mathews,,212814
Mecklenburg,,975758
Middlesex,,356519
Nelson,,454028
New,,437886
Northampton,,500015
Northumberland,,412130
Nottoway,,517184
Orange,,1022295
Page,,584260
Patrick,,436033
Powhatan,,672376
Prince,,683240
Pulaski,,1303451
Rappahannock,,288637
Richmond,,275258
Russell,,674822
Scott,,453463
Shenandoah,,1580133
Smyth,,1057409
Stafford,,4967807
Surry,,1025069
Sussex,,355486
Tazewell,,1279280
Warren,,1671763
Westmoreland,,466459
Wythe,,1661828
Independent,,
Alexandria,,13764945
Chesapeake,,9280375
Hampton,,6421553
Newport,,12974306
Norfolk,,20764852
Portsmouth,,5706926
Richmond,,21733731
Roanoke,,6917401
Suffolk,,3474723
Virginia,,19858267
Combination,,
Albemarle,,10712595
Alleghany,,834166
"Augusta,",,4848087
Campbell,,6796229
Carroll,,953607
"Dinwiddie,",,2794471
"Fairfax,",,110392881
Frederick,,5958868
Greensville,,1246958
Henry,,2180392
James,,4566261
Montgomery,,5095291
Pittsylvania,,3460016
Prince,,3727746
Prince,,18476449
Roanoke,,5849904
"Rockbridge,",,1182899
Rockingham,,7194035
Southampton,,733814
Spotsylvania,,5459600
Washington,,3429150
Wise,,1512684
York,,2359742
,,
Washington,,548686658
Adams,,1010251
Asotin,,707109
Benton,,11323770
Chelan,,4356925
Clallam,,2437895
Clark,,20277551
Columbia,,357514
Cowlitz,,4925417
Douglas,,1739697
Ferry,,211241
Franklin,,3835969
Garfield,,162399
Grant,,5676235
Grays,,2591043
Island,,2868204
Jefferson,,1017275
King,,294329768
Kitsap,,12065255
Kittitas,,1713359
Klickitat,,1272857
Lewis,,3280790
Lincoln,,492383
Mason,,1599649
Okanogan,,1492710
Pacific,,739633
Pend,,556693
Pierce,,41492997
SanJuan,,727274
Skagit,,7765443
Skamania,,284565
Snohomish,,46966858
Spokane,,25730384
Stevens,,1143758
Thurston,,12795113
Wahkiakum,,89625
Walla,,3513539
Whatcom,,13808458
Whitman,,2515996
Yakima,,11038340
,,
West,,72340446
Barbour,,407784
Berkeley,,3244322
Boone,,616646
Braxton,,297292
Brooke,,1095839
Cabell,,4541909
Calhoun,,115306
Clay,,113664
Doddridge,,1601958
Fayette,,1000663
Gilmer,,185995
Grant,,402102
Greenbrier,,1087147
Hampshire,,311765
Hancock,,1271713
Hardy,,402682
Harrison,,4427736
Jackson,,947980
Jefferson,,1520740
Kanawha,,9828259
Lewis,,636962
Lincoln,,231284
Logan,,1258694
McDowell,,580812
Marion,,2124956
Marshall,,2694028
Mason,,717766
Mercer,,1575913
Mineral,,753406
Mingo,,648246
Monongalia,,6175149
Monroe,,211319
Morgan,,263526
Nicholas,,593661
Ohio,,3628922
Pendleton,,138000
Pleasants,,466958
Pocahontas,,248977
Preston,,635041
Putnam,,2531645
Raleigh,,2843740
Randolph,,819432
Ritchie,,729053
Roane,,283560
Summers,,194310
Taylor,,524245
Tucker,,275262
Tyler,,697739
Upshur,,694415
Wayne,,1015026
Webster,,155261
Wetzel,,1035574
Wirt,,59268
Wood,,3193334
Wyoming,,537098
,,
Wisconsin,,308044657
Adams,,469877
Ashland,,698745
Barron,,2074086
Bayfield,,418244
Brown,,17284030
Buffalo,,471890
Burnett,,473507
Calumet,,1536304
Chippewa,,2632026
Clark,,1434837
Columbia,,2693651
Crawford,,727314
Dane,,40913972
Dodge,,3434703
Door,,1219263
Douglas,,2085881
Dunn,,1683573
Eau,,5978317
Florence,,111077
Fond,,4903922
Forest,,291383
Grant,,2168531
Green,,1654351
Green,,624630
Iowa,,1068675
Iron,,171183
Jackson,,855422
Jefferson,,3501760
Juneau,,834160
Kenosha,,6397601
Kewaunee,,853881
La,,6857924
Lafayette,,617172
Langlade,,732921
Lincoln,,1456035
Manitowoc,,3806574
Marathon,,8007647
Marinette,,1878676
Marquette,,390257
Menominee,,140286
Milwaukee,,55078475
Monroe,,2290755
Oconto,,978973
Oneida,,1584359
Outagamie,,11639250
Ozaukee,,4980154
Pepin,,258624
Pierce,,1139709
Polk,,1530850
Portage,,3957049
Price,,570007
Racine,,7799437
Richland,,793005
Rock,,6919350
Rusk,,534017
St.,,3633692
Sauk,,3654734
Sawyer,,615139
Shawano,,1320797
Sheboygan,,6735140
Taylor,,855193
Trempealeau,,1285874
Vernon,,1046551
Vilas,,900840
Walworth,,3974747
Washburn,,546439
Washington,,6096248
Waukesha,,27749480
Waupaca,,2010867
Waushara,,634673
Winnebago,,9725443
Wood,,3708760
,,
Wyoming,,39213967
Albany,,1423240
Big,,514045
Campbell,,6108414
Carbon,,1444166
Converse,,1839669
Crook,,296837
Fremont,,1697672
Goshen,,549166
Hot,,271137
Johnson,,423624
Laramie,,5272539
Lincoln,,803058
Natrona,,5602739
Niobrara,,146076
Park,,1373292
Platte,,602539
Sheridan,,1250913
Sublette,,1662822
Sweetwater,,3861073
Teton,,2250191
Uinta,,926327
Washakie,,369344
Weston,,325913
1,,
Source.,,
