State,Area,2019 Gross Domestic Product (Thousands of Chained (2012) Dollars))
Parke,,326589
Perry,,758889
Pike,,689383
Porter,,7038578
Posey,,2877731
Pulaski,,620684
Putnam,,1032381
Randolph,,737625
Ripley,,1062334
Rush,,627561
St.Joseph,,12972569
Scott,,663104
Shelby,,1842441
Spencer,,1027595
Starke,,422624
Steuben,,1324266
Sullivan,,918148
Switzerland,,197802
Tippecanoe,,9040396
Tipton,,555250
Union,,133439
Vanderburgh,,10292671
Vermillion,,736253
Vigo,,4377484
Wabash,,1164169
Warren,,243958
Warrick,,2210607
Washington,,601931
Wayne,,2607536
Wells,,1144565
White,,944621
Whitley,,1499387
,,
Iowa,,173515422
Adair,,409441
Adams,,248585
Allamakee,,601573
Appanoose,,380440
Audubon,,333982
Benton,,831865
Black,,6954188
Boone,,934453
Bremer,,1064512
Buchanan,,782371
Buena,,1255549
Butler,,448850
Calhoun,,463769
Carroll,,1386935
Cass,,616163
Cedar,,623663
Cerro,,2401592
Cherokee,,732258
Chickasaw,,697823
Clarke,,393048
Clay,,1003867
Clayton,,879140
Clinton,,2153256
Crawford,,837082
Dallas,,4499385
Davis,,251106
Decatur,,205825
Delaware,,952657
Des,,2061896
Dickinson,,904689
Dubuque,,5712534
Emmet,,414613
Fayette,,779277
Floyd,,824187
Franklin,,644022
Fremont,,306827
Greene,,493118
Grundy,,524936
Guthrie,,469367
Hamilton,,889079
Hancock,,789651
Hardin,,899909
Harrison,,432495
Henry,,876317
Howard,,491110
Humboldt,,464899
Ida,,485383
Iowa,,1071156
Jackson,,615545
Jasper,,1099820
Jefferson,,655566
Johnson,,8084987
Jones,,613595
Keokuk,,367517
Kossuth,,1013375
Lee,,1652597
Linn,,15469738
Louisa,,641515
Lucas,,305660
Lyon,,998293
Madison,,376103
Mahaska,,904406
Marion,,1787982
Marshall,,1788347
Mills,,529601
Mitchell,,743696
Monona,,341649
Monroe,,416550
Montgomery,,416096
Muscatine,,2442328
O'Brien,,964234
Osceola,,469782
Page,,574889
Palo,,615505
Plymouth,,1490450
Pocahontas,,622077
Polk,,38100157
Pottawattamie,,4119417
Poweshiek,,1072844
Ringgold,,204407
Sac,,575534
Scott,,8420464
Shelby,,711394
Sioux,,2524724
Story,,4900452
Tama,,665990
Taylor,,255848
Union,,565342
Van,,226283
Wapello,,1545785
Warren,,1079783
Washington,,1163044
Wayne,,232978
Webster,,1987435
Winnebago,,428777
Winneshiek,,1004871
Woodbury,,4756524
Worth,,310833
Wright,,760324
,,
Kansas,,160059345
Allen,,533193
Anderson,,260103
Atchison,,670701
Barber,,234775
Barton,,1221797
Bourbon,,622350
Brown,,505363
Butler,,2687151
Chase,,127796
Chautauqua,,87196
Cherokee,,730178
Cheyenne,,149359
Clark,,204696
Clay,,296604
Cloud,,373004
Coffey,,771798
Comanche,,71271
Cowley,,1339143
Crawford,,1523287
Decatur,,159594
Dickinson,,663593
Doniphan,,282870
Douglas,,4455949
Edwards,,196379
Elk,,80653
Ellis,,1570630
Ellsworth,,280500
Finney,,2162798
Ford,,2041339
Franklin,,873242
Geary,,2538211
Gove,,196710
Graham,,155301
Grant,,611744
Gray,,714983
Greeley,,170753
Greenwood,,187031
Hamilton,,283231
Harper,,349838
Harvey,,1194597
Haskell,,468469
Hodgeman,,146884
Jackson,,366963
Jefferson,,378304
Jewell,,157245
Johnson,,43766958
Kearny,,268968
Kingman,,305353
Kiowa,,148310
Labette,,820804
Lane,,161891
Leavenworth,,2594620
Lincoln,,114840
Linn,,437776
Logan,,175293
Lyon,,1342271
McPherson,,2381864
Marion,,433625
Marshall,,531862
Meade,,283952
Miami,,880557
Mitchell,,423902
Montgomery,,1755404
Morris,,204122
Morton,,159682
Nemaha,,448478
Neosho,,587629
Ness,,202328
Norton,,249937
Osage,,290622
Osborne,,190022
Ottawa,,135091
Pawnee,,322578
Phillips,,440451
Pottawatomie,,1166518
Pratt,,620797
Rawlins,,145369
Reno,,2373024
Republic,,231947
Rice,,530615
Riley,,2416723
Rooks,,232675
Rush,,159378
Russell,,326670
Saline,,2725937
Scott,,451398
Sedgwick,,29339125
Seward,,1268805
Shawnee,,9380700
Sheridan,,163872
Sherman,,291168
Smith,,180336
Stafford,,209092
Stanton,,206652
Stevens,,323262
Sumner,,746505
Thomas,,553045
Trego,,189345
Wabaunsee,,142171
Wallace,,116960
Washington,,258862
Wichita,,303624
Wilson,,340856
Woodson,,92135
Wyandotte,,11106454
,,
Kentucky,,190811450
Adair,,350924
Allen,,468656
Anderson,,518067
Ballard,,195157
Barren,,1391989
Bath,,185101
Bell,,733426
Boone,,10548510
Bourbon,,1085975
Boyd,,4271296
Boyle,,1143320
Bracken,,141552
Breathitt,,220539
Breckinridge,,327520
Bullitt,,2258316
Butler,,300770
Caldwell,,380279
Calloway,,1255328
Campbell,,3152727
Carlisle,,151739
Carroll,,1775558
Carter,,461922
Casey,,319139
Christian,,5324394
Clark,,1375743
Clay,,326139
Clinton,,309633
Crittenden,,198963
Cumberland,,154124
Daviess,,4216860
Edmonson,,156737
Elliott,,71983
Estill,,198947
Fayette,,18340392
Fleming,,281784
Floyd,,1045510
Franklin,,2781698
Fulton,,192760
Gallatin,,363971
Garrard,,222103
Grant,,466503
Graves,,1178673
Grayson,,622263
Green,,154451
Greenup,,836397
Hancock,,913052
Hardin,,4666262
Harlan,,551647
Harrison,,505882
Hart,,521198
Henderson,,1968621
Henry,,324823
Hickman,,191609
Hopkins,,1704465
Jackson,,158872
Jefferson,,49342960
Jessamine,,1855095
Johnson,,418456
Kenton,,7088145
Knott,,231109
Knox,,585937
Larue,,200148
Laurel,,1965279
Lawrence,,325044
Lee,,129669
Leslie,,168978
Letcher,,356506
Lewis,,178381
Lincoln,,354083
Livingston,,263382
Logan,,1199843
Lyon,,193352
McCracken,,3974274
McCreary,,238737
McLean,,289864
Madison,,2808489
Magoffin,,145734
Marion,,835472
Marshall,,1258138
Martin,,253396
Mason,,1004716
Meade,,446304
Menifee,,83209
Mercer,,792357
Metcalfe,,177007
Monroe,,286813
Montgomery,,904888
Morgan,,235576
Muhlenberg,,1208144
Nelson,,1467849
Nicholas,,85399
Ohio,,892304
Oldham,,1729118
Owen,,188324
Owsley,,50767
Pendleton,,252879
Perry,,950187
Pike,,1966363
Powell,,194671
Pulaski,,2038524
Robertson,,24009
Rockcastle,,310444
Rowan,,681802
Russell,,587121
Scott,,3011198
Shelby,,1519092
Simpson,,869792
Spencer,,215026
Taylor,,832914
Todd,,321296
Trigg,,245179
Trimble,,459132
Union,,744841
Warren,,5625220
Washington,,318903
Wayne,,388737
Webster,,536653
Whitley,,990942
Wolfe,,95279
Woodford,,1153462
,,
Louisiana,,239967199
Acadia,,1520519
Allen,,654503
Ascension,,7977395
Assumption,,456748
Avoyelles,,899901
Beauregard,,986943
Bienville,,764845
Bossier,,5215747
Caddo,,12607449
Calcasieu,,15722861
Caldwell,,187505
Cameron,,1234787
Catahoula,,197122
Claiborne,,489776
Concordia,,580231
De,,4064627
East,,36124993
East,,191356
East,,493325
Evangeline,,883046
Franklin,,573058
Grant,,351420
Iberia,,3143178
Iberville,,1651515
Jackson,,492622
Jefferson,,21803194
Jefferson,,903472
Lafayette,,12873679
Lafourche,,3905961
LaSalle,,515176
Lincoln,,2109079
Livingston,,2550513
Madison,,439183
Morehouse,,642816
Natchitoches,,1350515
Orleans,,22275300
Ouachita,,6607609
Plaquemines,,4014541
Pointe,,766277
Rapides,,5224167
Red,,1329733
Richland,,567808
Sabine,,854982
St.Bernard,,2737373
St.Charles,,8218870
St.Helena,,153705
St.James,,3475449
St.John,,4175207
St.Landry,,2438557
St.Martin,,1178673
St.Mary,,2316761
St.Tammany,,10740563
Tangipahoa,,3826831
Tensas,,164853
Terrebonne,,5253224
Union,,501417
Vermilion,,1648309
Vernon,,1837042
Washington,,1053948
Webster,,1084321
West,,2293199
West,,202246
West,,844398
Winn,,455336
,,
Maine,,58793333
Androscoggin,,4317875
Aroostook,,2493167
Cumberland,,19823294
Franklin,,1032713
Hancock,,2214481
Kennebec,,5242984
Knox,,1596282
Lincoln,,1060260
Oxford,,1634455
Penobscot,,6033967
Piscataquis,,545330
Sagadahoc,,1505212
Somerset,,1609801
Waldo,,1190328
Washington,,1035191
York,,7457213
,,
Maryland,,374039254
Allegany,,2921129
Anne,,45918049
Baltimore,,51824165
Calvert,,4161824
Caroline,,1360553
Carroll,,5956989
Cecil,,4630750
Charles,,5118657
Dorchester,,1270180
Frederick,,12408352
Garrett,,1292477
Harford,,12067932
Howard,,24662356
Kent,,939163
Montgomery,,84895717
Prince,,42073965
Queen,,1787711
St.,,6806268
Somerset,,893635
Talbot,,1966907
Washington,,6871045
Wicomico,,4937014
Worcester,,2862443
Baltimore,,46420459
,,
Massachusetts,,519961639
Barnstable,,13587539
Berkshire,,6649401
