County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
Sac,Iowa,IowaSac,4818,5050,46.2,9868
Scott,Iowa,IowaScott,84515,87773,38.3,172288
Shelby,Iowa,IowaShelby,5735,5959,46.1,11694
Sioux,Iowa,IowaSioux,17487,17338,33.2,34825
Story,Iowa,IowaStory,50484,46438,26.3,96922
Tama,Iowa,IowaTama,8497,8639,42.8,17136
Taylor,Iowa,IowaTaylor,3168,3033,42.8,6201
Union,Iowa,IowaUnion,6063,6390,39.9,12453
Van,Iowa,IowaVan,3698,3525,44.3,7223
Wapello,Iowa,IowaWapello,17403,17912,39.3,35315
Warren,Iowa,IowaWarren,24118,25243,38.3,49361
Washington,Iowa,IowaWashington,11075,11068,40.8,22143
Wayne,Iowa,IowaWayne,3157,3256,43,6413
Webster,Iowa,IowaWebster,18972,17785,39.1,36757
Winnebago,Iowa,IowaWinnebago,5190,5381,42.6,10571
Winneshiek,Iowa,IowaWinneshiek,10156,10245,41.3,20401
Woodbury,Iowa,IowaWoodbury,50496,51902,35.7,102398
Worth,Iowa,IowaWorth,3754,3735,44,7489
Wright,Iowa,IowaWright,6383,6421,43.4,12804
Allen,Kansas,KansasAllen,6281,6349,41.8,12630
Anderson,Kansas,KansasAnderson,3932,3920,41.5,7852
Atchison,Kansas,KansasAtchison,7949,8414,36.1,16363
Barber,Kansas,KansasBarber,2356,2377,43.8,4733
Barton,Kansas,KansasBarton,13362,13429,40,26791
Bourbon,Kansas,KansasBourbon,7243,7459,39.3,14702
Brown,Kansas,KansasBrown,4685,4979,42.2,9664
Butler,Kansas,KansasButler,33539,32929,38.4,66468
Chase,Kansas,KansasChase,1340,1305,44.4,2645
Chautauqua,Kansas,KansasChautauqua,1757,1610,48.8,3367
Cherokee,Kansas,KansasCherokee,9998,10333,41.9,20331
Cheyenne,Kansas,KansasCheyenne,1320,1357,45.7,2677
Clark,Kansas,KansasClark,1037,1016,44.3,2053
Clay,Kansas,KansasClay,4078,4064,43,8142
Cloud,Kansas,KansasCloud,4523,4537,41,9060
Coffey,Kansas,KansasCoffey,4195,4101,44,8296
Comanche,Kansas,KansasComanche,912,868,47.5,1780
Cowley,Kansas,KansasCowley,17915,17676,38.8,35591
Crawford,Kansas,KansasCrawford,19527,19581,32.5,39108
Decatur,Kansas,KansasDecatur,1419,1462,49.5,2881
Dickinson,Kansas,KansasDickinson,9555,9449,41.5,19004
Doniphan,Kansas,KansasDoniphan,3960,3776,41.3,7736
Douglas,Kansas,KansasDouglas,59067,60252,29.5,119319
Edwards,Kansas,KansasEdwards,1494,1431,44.7,2925
Elk,Kansas,KansasElk,1258,1304,51.7,2562
Ellis,Kansas,KansasEllis,14394,14484,32.6,28878
Ellsworth,Kansas,KansasEllsworth,3654,2639,42.3,6293
Finney,Kansas,KansasFinney,18940,18017,30.5,36957
Ford,Kansas,KansasFord,17896,16588,31.9,34484
Franklin,Kansas,KansasFranklin,12567,12996,39.1,25563
Geary,Kansas,KansasGeary,18540,16355,26.1,34895
Gove,Kansas,KansasGove,1298,1321,48.1,2619
Graham,Kansas,KansasGraham,1290,1255,51.9,2545
Grant,Kansas,KansasGrant,3988,3628,32.6,7616
Gray,Kansas,KansasGray,3025,3012,36.2,6037
Greeley,Kansas,KansasGreeley,581,619,36.5,1200
Greenwood,Kansas,KansasGreenwood,3106,3050,48.7,6156
Hamilton,Kansas,KansasHamilton,1353,1263,32.2,2616
Harper,Kansas,KansasHarper,2884,2789,42.3,5673
Harvey,Kansas,KansasHarvey,17200,17355,39.5,34555
Haskell,Kansas,KansasHaskell,2006,2041,36.6,4047
Hodgeman,Kansas,KansasHodgeman,941,901,49.1,1842
Jackson,Kansas,KansasJackson,6642,6676,41.6,13318
Jefferson,Kansas,KansasJefferson,9581,9307,44.2,18888
Jewell,Kansas,KansasJewell,1482,1434,52.6,2916
Johnson,Kansas,KansasJohnson,286987,298515,37.5,585502
Kearny,Kansas,KansasKearny,1934,1998,34.4,3932
Kingman,Kansas,KansasKingman,3749,3721,45.5,7470
Kiowa,Kansas,KansasKiowa,1234,1292,40.3,2526
Labette,Kansas,KansasLabette,10070,10297,40.6,20367
Lane,Kansas,KansasLane,850,792,41.2,1642
Leavenworth,Kansas,KansasLeavenworth,42933,37109,37.6,80042
Lincoln,Kansas,KansasLincoln,1585,1512,46.4,3097
Linn,Kansas,KansasLinn,4800,4835,43.9,9635
Logan,Kansas,KansasLogan,1398,1412,40,2810
Lyon,Kansas,KansasLyon,16260,17039,33.4,33299
McPherson,Kansas,KansasMcPherson,14159,14471,41.1,28630
Marion,Kansas,KansasMarion,5971,6061,44.7,12032
Marshall,Kansas,KansasMarshall,4924,4874,44,9798
Meade,Kansas,KansasMeade,2129,2132,37.3,4261
Miami,Kansas,KansasMiami,16384,16743,41.9,33127
Mitchell,Kansas,KansasMitchell,3163,3059,43.5,6222
Montgomery,Kansas,KansasMontgomery,16410,16560,40.5,32970
Morris,Kansas,KansasMorris,2753,2813,47.7,5566
Morton,Kansas,KansasMorton,1449,1389,43.1,2838
Nemaha,Kansas,KansasNemaha,5119,4985,39.9,10104
Neosho,Kansas,KansasNeosho,7923,8202,40.1,16125
Ness,Kansas,KansasNess,1493,1462,48.7,2955
Norton,Kansas,KansasNorton,3036,2450,43.2,5486
Osage,Kansas,KansasOsage,7968,7914,43.6,15882
Osborne,Kansas,KansasOsborne,1807,1796,46.7,3603
Ottawa,Kansas,KansasOttawa,3043,2859,42.6,5902
Pawnee,Kansas,KansasPawnee,3769,2940,45.7,6709
Phillips,Kansas,KansasPhillips,2648,2760,44.6,5408
Pottawatomie,Kansas,KansasPottawatomie,11746,11799,35.1,23545
Pratt,Kansas,KansasPratt,4785,4797,38.5,9582
Rawlins,Kansas,KansasRawlins,1286,1223,49.2,2509
Reno,Kansas,KansasReno,31775,31326,40.4,63101
Republic,Kansas,KansasRepublic,2271,2415,51.1,4686
Rice,Kansas,KansasRice,4844,4918,39.1,9762
Riley,Kansas,KansasRiley,39909,35387,25.1,75296
Rooks,Kansas,KansasRooks,2469,2649,43.8,5118
Rush,Kansas,KansasRush,1521,1581,47.6,3102
Russell,Kansas,KansasRussell,3452,3525,49.1,6977
Saline,Kansas,KansasSaline,27375,27602,38.5,54977
Scott,Kansas,KansasScott,2460,2489,39.4,4949
Sedgwick,Kansas,KansasSedgwick,253201,258863,35.2,512064
Seward,Kansas,KansasSeward,11601,11091,29.4,22692
Shawnee,Kansas,KansasShawnee,86327,91957,38.9,178284
Sheridan,Kansas,KansasSheridan,1275,1231,44.3,2506
Sherman,Kansas,KansasSherman,3003,2963,38.8,5966
Smith,Kansas,KansasSmith,1809,1854,51.6,3663
Stafford,Kansas,KansasStafford,2157,2057,44.4,4214
Stanton,Kansas,KansasStanton,1055,1008,39.6,2063
Stevens,Kansas,KansasStevens,2882,2804,34.7,5686
Sumner,Kansas,KansasSumner,11581,11627,41.1,23208
Thomas,Kansas,KansasThomas,3816,4008,36.1,7824
Trego,Kansas,KansasTrego,1450,1408,49.2,2858
Wabaunsee,Kansas,KansasWabaunsee,3497,3391,43.8,6888
Wallace,Kansas,KansasWallace,790,785,43.1,1575
Washington,Kansas,KansasWashington,2844,2681,46.5,5525
Wichita,Kansas,KansasWichita,1019,1124,45,2143
Wilson,Kansas,KansasWilson,4318,4462,43.9,8780
Woodson,Kansas,KansasWoodson,1583,1587,48.3,3170
Wyandotte,Kansas,KansasWyandotte,81294,83051,33.7,164345
Adair,Kentucky,KentuckyAdair,9525,9716,41.5,19241
Allen,Kentucky,KentuckyAllen,10339,10455,40,20794
Anderson,Kentucky,KentuckyAnderson,10873,11341,41,22214
Ballard,Kentucky,KentuckyBallard,3992,4098,43.3,8090
Barren,Kentucky,KentuckyBarren,21165,22515,40.3,43680
Bath,Kentucky,KentuckyBath,6096,6172,40.4,12268
Bell,Kentucky,KentuckyBell,13325,13863,41.6,27188
Boone,Kentucky,KentuckyBoone,64061,65034,37.3,129095
Bourbon,Kentucky,KentuckyBourbon,9670,10474,42.1,20144
Boyd,Kentucky,KentuckyBoyd,23958,24133,41.9,48091
Boyle,Kentucky,KentuckyBoyle,14903,15010,40.3,29913
Bracken,Kentucky,KentuckyBracken,4183,4123,40.7,8306
Breathitt,Kentucky,KentuckyBreathitt,6577,6539,41.6,13116
Breckinridge,Kentucky,KentuckyBreckinridge,10088,9992,42.9,20080
Bullitt,Kentucky,KentuckyBullitt,39627,39839,40.1,79466
Butler,Kentucky,KentuckyButler,6412,6333,41,12745
Caldwell,Kentucky,KentuckyCaldwell,6168,6559,43.5,12727
Calloway,Kentucky,KentuckyCalloway,18818,19958,35.3,38776
Campbell,Kentucky,KentuckyCampbell,45124,47143,38.1,92267
Carlisle,Kentucky,KentuckyCarlisle,2344,2497,42.9,4841
Carroll,Kentucky,KentuckyCarroll,5455,5256,38.1,10711
Carter,Kentucky,KentuckyCarter,13437,13853,41,27290
Casey,Kentucky,KentuckyCasey,7738,8058,42.9,15796
Christian,Kentucky,KentuckyChristian,38411,33852,28.4,72263
Clark,Kentucky,KentuckyClark,17573,18299,42.2,35872
Clay,Kentucky,KentuckyClay,10827,9794,39.7,20621
Clinton,Kentucky,KentuckyClinton,5084,5127,41.7,10211
Crittenden,Kentucky,KentuckyCrittenden,4593,4490,43.6,9083
Cumberland,Kentucky,KentuckyCumberland,3289,3424,46.1,6713
Daviess,Kentucky,KentuckyDaviess,48742,51195,38.7,99937
Edmonson,Kentucky,KentuckyEdmonson,6093,6029,43.8,12122
Elliott,Kentucky,KentuckyElliott,4285,3232,41.9,7517
Estill,Kentucky,KentuckyEstill,7104,7209,43.7,14313
Fayette,Kentucky,KentuckyFayette,156453,162281,34.4,318734
Fleming,Kentucky,KentuckyFleming,7146,7333,40.9,14479
Floyd,Kentucky,KentuckyFloyd,18070,18856,41.9,36926
Franklin,Kentucky,KentuckyFranklin,24390,25906,40.5,50296
Fulton,Kentucky,KentuckyFulton,3102,3108,43.1,6210
Gallatin,Kentucky,KentuckyGallatin,4473,4230,38.9,8703
Garrard,Kentucky,KentuckyGarrard,8475,8853,42.7,17328
Grant,Kentucky,KentuckyGrant,12318,12597,36,24915
Graves,Kentucky,KentuckyGraves,18348,18946,40.3,37294
Grayson,Kentucky,KentuckyGrayson,13073,13105,40.5,26178
Green,Kentucky,KentuckyGreen,5393,5630,44.6,11023
Greenup,Kentucky,KentuckyGreenup,17411,18354,43.4,35765
Hancock,Kentucky,KentuckyHancock,4494,4225,39.4,8719
Hardin,Kentucky,KentuckyHardin,53723,54372,36.3,108095
Harlan,Kentucky,KentuckyHarlan,13132,14002,41.2,27134
Harrison,Kentucky,KentuckyHarrison,9146,9522,42.1,18668
Hart,Kentucky,KentuckyHart,9166,9461,40.2,18627
Henderson,Kentucky,KentuckyHenderson,22328,23809,40.8,46137
Henry,Kentucky,KentuckyHenry,7813,8001,41.3,15814
Hickman,Kentucky,KentuckyHickman,2133,2435,46.6,4568
Hopkins,Kentucky,KentuckyHopkins,22219,23445,41.9,45664
Jackson,Kentucky,KentuckyJackson,6655,6718,41,13373
Jefferson,Kentucky,KentuckyJefferson,370844,396310,38.1,767154
Jessamine,Kentucky,KentuckyJessamine,25479,26943,37.9,52422
Johnson,Kentucky,KentuckyJohnson,11200,11643,41.8,22843
Kenton,Kentucky,KentuckyKenton,81430,83258,37,164688
Knott,Kentucky,KentuckyKnott,7693,7820,42.6,15513
Knox,Kentucky,KentuckyKnox,15330,16137,40,31467
Larue,Kentucky,KentuckyLarue,7027,7129,40.8,14156
Laurel,Kentucky,KentuckyLaurel,29412,30768,39.6,60180
Lawrence,Kentucky,KentuckyLawrence,7898,7885,41.1,15783
Lee,Kentucky,KentuckyLee,3501,3250,44.1,6751
Leslie,Kentucky,KentuckyLeslie,5067,5405,41.8,10472
Letcher,Kentucky,KentuckyLetcher,11087,11589,42.2,22676
Lewis,Kentucky,KentuckyLewis,6714,6776,42.9,13490
Lincoln,Kentucky,KentuckyLincoln,11981,12477,40.5,24458
Livingston,Kentucky,KentuckyLivingston,4626,4637,45.7,9263
Logan,Kentucky,KentuckyLogan,13154,13695,40.8,26849
Lyon,Kentucky,KentuckyLyon,4496,3690,48.9,8186
McCracken,Kentucky,KentuckyMcCracken,31193,34091,42.1,65284
McCreary,Kentucky,KentuckyMcCreary,9613,8022,40,17635
McLean,Kentucky,KentuckyMcLean,4602,4729,41.3,9331
Madison,Kentucky,KentuckyMadison,43737,45963,34,89700
Magoffin,Kentucky,KentuckyMagoffin,6348,6318,42.1,12666
Marion,Kentucky,KentuckyMarion,9751,9481,39.7,19232
Marshall,Kentucky,KentuckyMarshall,15341,15825,44.8,31166
Martin,Kentucky,KentuckyMartin,6583,5336,39.3,11919
Mason,Kentucky,KentuckyMason,8485,8668,40.7,17153
Meade,Kentucky,KentuckyMeade,14352,13974,38.5,28326
Menifee,Kentucky,KentuckyMenifee,3421,2984,46.2,6405
Mercer,Kentucky,KentuckyMercer,10597,10919,42.2,21516
Metcalfe,Kentucky,KentuckyMetcalfe,4923,5081,43.4,10004
Monroe,Kentucky,KentuckyMonroe,5370,5264,41.6,10634
Montgomery,Kentucky,KentuckyMontgomery,13541,14218,39.1,27759
Morgan,Kentucky,KentuckyMorgan,7425,5860,41.3,13285
Muhlenberg,Kentucky,KentuckyMuhlenberg,15286,15795,42.4,31081
Nelson,Kentucky,KentuckyNelson,22492,22896,39.5,45388
Nicholas,Kentucky,KentuckyNicholas,3369,3731,41.5,7100
Ohio,Kentucky,KentuckyOhio,11960,12111,40.6,24071
Oldham,Kentucky,KentuckyOldham,34328,31046,39,65374
Owen,Kentucky,KentuckyOwen,5304,5437,41.2,10741
Owsley,Kentucky,KentuckyOwsley,1947,2516,42.5,4463
Pendleton,Kentucky,KentuckyPendleton,7360,7160,41.1,14520
Perry,Kentucky,KentuckyPerry,13273,13644,41.2,26917
Pike,Kentucky,KentuckyPike,29507,30976,42.1,60483
Powell,Kentucky,KentuckyPowell,6048,6273,39.2,12321
Pulaski,Kentucky,KentuckyPulaski,31517,32628,41.9,64145
Robertson,Kentucky,KentuckyRobertson,1147,996,44.1,2143
Rockcastle,Kentucky,KentuckyRockcastle,8170,8657,42.5,16827
Rowan,Kentucky,KentuckyRowan,11763,12736,30.4,24499
Russell,Kentucky,KentuckyRussell,8688,9072,43.1,17760
Scott,Kentucky,KentuckyScott,26516,27001,36.2,53517
Shelby,Kentucky,KentuckyShelby,22613,24173,39.1,46786
Simpson,Kentucky,KentuckySimpson,8926,9137,39.5,18063
Spencer,Kentucky,KentuckySpencer,9277,8969,41.6,18246
Taylor,Kentucky,KentuckyTaylor,12525,12975,37.9,25500
Todd,Kentucky,KentuckyTodd,6049,6301,37.6,12350
Trigg,Kentucky,KentuckyTrigg,7077,7267,45.8,14344
Trimble,Kentucky,KentuckyTrimble,4238,4399,43,8637
Union,Kentucky,KentuckyUnion,7597,7205,37.6,14802
Warren,Kentucky,KentuckyWarren,61873,64554,32.8,126427
Washington,Kentucky,KentuckyWashington,5865,6154,40.7,12019
Wayne,Kentucky,KentuckyWayne,10154,10455,42.6,20609
Webster,Kentucky,KentuckyWebster,6457,6698,41.1,13155
Whitley,Kentucky,KentuckyWhitley,17668,18421,36.8,36089
Wolfe,Kentucky,KentuckyWolfe,3596,3627,41.6,7223
Woodford,Kentucky,KentuckyWoodford,12564,13533,42.4,26097
Acadia,Louisiana,LouisianaAcadia,30491,32077,36.2,62568
Allen,Louisiana,LouisianaAllen,14638,11023,38.3,25661
Ascension,Louisiana,LouisianaAscension,59998,61178,35.4,121176
Assumption,Louisiana,LouisianaAssumption,11005,11709,40.5,22714
Avoyelles,Louisiana,LouisianaAvoyelles,20607,20275,37.9,40882
Beauregard,Louisiana,LouisianaBeauregard,18712,18057,37.6,36769
Bienville,Louisiana,LouisianaBienville,6523,7145,41.6,13668
Bossier,Louisiana,LouisianaBossier,62349,63782,35.1,126131
Caddo,Louisiana,LouisianaCaddo,117828,130533,37.4,248361
Calcasieu,Louisiana,LouisianaCalcasieu,97603,102579,36,200182
Caldwell,Louisiana,LouisianaCaldwell,5277,4719,40.1,9996
Cameron,Louisiana,LouisianaCameron,3357,3511,44.5,6868
Catahoula,Louisiana,LouisianaCatahoula,5214,4679,38.1,9893
Claiborne,Louisiana,LouisianaClaiborne,9205,6948,42.2,16153
Concordia,Louisiana,LouisianaConcordia,10210,9811,37.8,20021
De,Louisiana,LouisianaDe,13172,14044,39.7,27216
East,Louisiana,LouisianaEast,212778,231316,33.7,444094
East,Louisiana,LouisianaEast,4373,2852,33,7225
East,Louisiana,LouisianaEast,10715,8784,43,19499
Evangeline,Louisiana,LouisianaEvangeline,17142,16494,35.4,33636
Franklin,Louisiana,LouisianaFranklin,9981,10341,38.5,20322
Grant,Louisiana,LouisianaGrant,12658,9690,38.3,22348
Iberia,Louisiana,LouisianaIberia,35508,37183,36.5,72691
Iberville,Louisiana,LouisianaIberville,16661,16295,38.3,32956
Jackson,Louisiana,LouisianaJackson,8080,7846,40.3,15926
Jefferson,Louisiana,LouisianaJefferson,211175,224125,39.2,435300
Jefferson,Louisiana,LouisianaJefferson,15590,15877,37.7,31467
Lafayette,Louisiana,LouisianaLafayette,117169,122922,34.9,240091
Lafourche,Louisiana,LouisianaLafourche,48261,49953,37.5,98214
LaSalle,Louisiana,LouisianaLaSalle,7730,7219,38,14949
Lincoln,Louisiana,LouisianaLincoln,23041,24315,27.8,47356
Livingston,Louisiana,LouisianaLivingston,67836,70275,36.3,138111
Madison,Louisiana,LouisianaMadison,5708,5764,35.1,11472
Morehouse,Louisiana,LouisianaMorehouse,12444,13548,39.6,25992
Natchitoches,Louisiana,LouisianaNatchitoches,18622,20341,33.7,38963
Orleans,Louisiana,LouisianaOrleans,185377,204271,36.3,389648
Ouachita,Louisiana,LouisianaOuachita,74853,81222,35.4,156075
Plaquemines,Louisiana,LouisianaPlaquemines,11617,11756,36.2,23373
Pointe,Louisiana,LouisianaPointe,10614,11544,42.9,22158
Rapides,Louisiana,LouisianaRapides,63681,67865,37.3,131546
Red,Louisiana,LouisianaRed,4067,4551,38.7,8618
Richland,Louisiana,LouisianaRichland,9952,10522,38.5,20474
Sabine,Louisiana,LouisianaSabine,11929,12159,40.9,24088
St.Bernard,Louisiana,LouisianaSt.Bernard,22402,23292,33.7,45694
St.Charles,Louisiana,LouisianaSt.Charles,26121,26603,37.6,52724
St.Helena,Louisiana,LouisianaSt.Helena,5039,5372,38.9,10411
St.James,Louisiana,LouisianaSt.James,10266,11091,39.9,21357
St.John,Louisiana,LouisianaSt.John,21308,22138,36.6,43446
St.Landry,Louisiana,LouisianaSt.Landry,40151,43298,36.3,83449
St.Martin,Louisiana,LouisianaSt.Martin,26452,27300,37.1,53752
St.Mary,Louisiana,LouisianaSt.Mary,25607,26127,39.1,51734
St.Tammany,Louisiana,LouisianaSt.Tammany,122347,129746,40.1,252093
Tangipahoa,Louisiana,LouisianaTangipahoa,63237,67267,35.1,130504
Tensas,Louisiana,LouisianaTensas,2296,2370,43.5,4666
Terrebonne,Louisiana,LouisianaTerrebonne,55305,57282,35.8,112587
Union,Louisiana,LouisianaUnion,11132,11343,41.7,22475
Vermilion,Louisiana,LouisianaVermilion,29121,30746,37.4,59867
Vernon,Louisiana,LouisianaVernon,27126,23881,30.1,51007
Washington,Louisiana,LouisianaWashington,22963,23494,39.5,46457
Webster,Louisiana,LouisianaWebster,19242,20389,40.8,39631
West,Louisiana,LouisianaWest,12863,12997,36.2,25860
West,Louisiana,LouisianaWest,5704,5476,39.8,11180
West,Louisiana,LouisianaWest,9802,5575,40.6,15377
Winn,Louisiana,LouisianaWinn,7733,6761,40.8,14494
Androscoggin,Maine,MaineAndroscoggin,52514,54930,40.7,107444
Aroostook,Maine,MaineAroostook,33745,34524,47.6,68269
Cumberland,Maine,MaineCumberland,141276,149668,42.1,290944
Franklin,Maine,MaineFranklin,14651,15368,46,30019
Hancock,Maine,MaineHancock,26374,28167,48.5,54541
Kennebec,Maine,MaineKennebec,59159,62386,44.3,121545
Knox,Maine,MaineKnox,19701,20122,48.4,39823
Lincoln,Maine,MaineLincoln,16624,17443,50.7,34067
Oxford,Maine,MaineOxford,28316,29009,46.6,57325
Penobscot,Maine,MainePenobscot,75196,76552,42.1,151748
Piscataquis,Maine,MainePiscataquis,8440,8447,51,16887
Sagadahoc,Maine,MaineSagadahoc,17228,18049,46.9,35277
Somerset,Maine,MaineSomerset,25085,25625,46.3,50710
Waldo,Maine,MaineWaldo,19347,20071,46.2,39418
Washington,Maine,MaineWashington,15614,16080,48,31694
York,Maine,MaineYork,99029,104073,44.9,203102
Allegany,Maryland,MarylandAllegany,37646,34331,41.7,71977
Anne,Maryland,MarylandAnne,281176,286520,38.4,567696
Baltimore,Maryland,MarylandBaltimore,392421,435204,39.3,827625
Calvert,Maryland,MarylandCalvert,45307,45775,40.8,91082
Caroline,Maryland,MarylandCaroline,16021,16854,40.2,32875
Carroll,Maryland,MarylandCarroll,82841,84681,42.4,167522
Cecil,Maryland,MarylandCecil,51149,51368,40.4,102517
Charles,Maryland,MarylandCharles,76071,81600,38.3,157671
Dorchester,Maryland,MarylandDorchester,15335,16926,44.5,32261
Frederick,Maryland,MarylandFrederick,122524,125948,39.2,248472
Garrett,Maryland,MarylandGarrett,14561,14815,45.6,29376
Harford,Maryland,MarylandHarford,122763,128262,40.8,251025
Howard,Maryland,MarylandHoward,154285,161042,38.7,315327
Kent,Maryland,MarylandKent,9344,10249,47.5,19593
Montgomery,Maryland,MarylandMontgomery,502389,537744,39,1040133
Prince,Maryland,MarylandPrince,436446,469756,36.8,906202
Queen,Maryland,MarylandQueen,24426,24929,44.3,49355
St.Mary's,Maryland,MarylandSt.Mary's,55552,55979,36.5,111531
Somerset,Maryland,MarylandSomerset,13833,11904,36.6,25737
Talbot,Maryland,MarylandTalbot,17626,19585,50.2,37211
Washington,Maryland,MarylandWashington,76098,73713,40.5,149811
Wicomico,Maryland,MarylandWicomico,48535,53637,35.8,102172
Worcester,Maryland,MarylandWorcester,25283,26281,50.1,51564
Baltimore,Maryland,MarylandBaltimore,288691,326009,35.1,614700
Barnstable,Massachusetts,MassachusettsBarnstable,102176,111514,52.9,213690
Berkshire,Massachusetts,MassachusettsBerkshire,61603,65725,46.7,127328
Bristol,Massachusetts,MassachusettsBristol,270624,288281,41,558905
Dukes,Massachusetts,MassachusettsDukes,8475,8838,46.1,17313
Essex,Massachusetts,MassachusettsEssex,376475,404549,40.8,781024
Franklin,Massachusetts,MassachusettsFranklin,34601,36334,46.1,70935
Hampden,Massachusetts,MassachusettsHampden,226555,242561,38.9,469116
Hampshire,Massachusetts,MassachusettsHampshire,75426,85733,36.3,161159
Middlesex,Massachusetts,MassachusettsMiddlesex,779666,815526,38.5,1595192
Nantucket,Massachusetts,MassachusettsNantucket,5650,5451,40.1,11101
Norfolk,Massachusetts,MassachusettsNorfolk,335338,362911,40.9,698249
Plymouth,Massachusetts,MassachusettsPlymouth,249126,263009,42.6,512135
Suffolk,Massachusetts,MassachusettsSuffolk,382830,408936,32.7,791766
Worcester,Massachusetts,MassachusettsWorcester,405434,416846,40.1,822280
Alcona,Michigan,MichiganAlcona,5224,5140,58.2,10364
Alger,Michigan,MichiganAlger,5104,4090,49.4,9194
Allegan,Michigan,MichiganAllegan,57586,57664,39.6,115250
Alpena,Michigan,MichiganAlpena,14095,14517,47.8,28612
Antrim,Michigan,MichiganAntrim,11515,11662,50.7,23177
Arenac,Michigan,MichiganArenac,7681,7484,49.6,15165
Baraga,Michigan,MichiganBaraga,4720,3787,45,8507
Barry,Michigan,MichiganBarry,30248,29809,42.6,60057
Bay,Michigan,MichiganBay,51486,53300,43.3,104786
Benzie,Michigan,MichiganBenzie,8743,8809,49.6,17552
Berrien,Michigan,MichiganBerrien,75737,79070,41.9,154807
Branch,Michigan,MichiganBranch,22485,21099,41.3,43584
Calhoun,Michigan,MichiganCalhoun,65782,68691,39.8,134473
Cass,Michigan,MichiganCass,25789,25671,45,51460
Charlevoix,Michigan,MichiganCharlevoix,12907,13312,48.1,26219
Cheboygan,Michigan,MichiganCheboygan,12720,12738,50.7,25458
Chippewa,Michigan,MichiganChippewa,20794,17040,39.7,37834
Clare,Michigan,MichiganClare,15159,15457,47.2,30616
Clinton,Michigan,MichiganClinton,38528,39368,40.6,77896
Crawford,Michigan,MichiganCrawford,7060,6776,50.5,13836
Delta,Michigan,MichiganDelta,17998,18192,47,36190
Dickinson,Michigan,MichiganDickinson,12754,12816,46.4,25570
Eaton,Michigan,MichiganEaton,53353,55802,41,109155
Emmet,Michigan,MichiganEmmet,16307,16732,45.3,33039
Genesee,Michigan,MichiganGenesee,197382,211979,40.3,409361
Gladwin,Michigan,MichiganGladwin,12739,12550,49.8,25289
Gogebic,Michigan,MichiganGogebic,8324,7090,48.8,15414
Grand,Michigan,MichiganGrand,45367,46379,42.9,91746
Gratiot,Michigan,MichiganGratiot,21961,19106,39.2,41067
Hillsdale,Michigan,MichiganHillsdale,22798,23032,42.2,45830
Houghton,Michigan,MichiganHoughton,19668,16692,32.7,36360
Huron,Michigan,MichiganHuron,15692,15851,49,31543
Ingham,Michigan,MichiganIngham,140970,148594,31.8,289564
Ionia,Michigan,MichiganIonia,34053,30123,38.7,64176
Iosco,Michigan,MichiganIosco,12578,12669,52.6,25247
Iron,Michigan,MichiganIron,5595,5617,54.1,11212
Isabella,Michigan,MichiganIsabella,34371,36404,27.7,70775
Jackson,Michigan,MichiganJackson,81205,77708,41.2,158913
Kalamazoo,Michigan,MichiganKalamazoo,128025,133548,34.2,261573
Kalkaska,Michigan,MichiganKalkaska,8908,8555,44.5,17463
Kent,Michigan,MichiganKent,316734,326406,35.1,643140
Keweenaw,Michigan,MichiganKeweenaw,1111,1019,56.7,2130
Lake,Michigan,MichiganLake,6000,5763,52.7,11763
Lapeer,Michigan,MichiganLapeer,44842,43360,43.9,88202
Leelanau,Michigan,MichiganLeelanau,10742,10897,53.7,21639
Lenawee,Michigan,MichiganLenawee,49815,48659,41.7,98474
Livingston,Michigan,MichiganLivingston,94566,93916,43.2,188482
Luce,Michigan,MichiganLuce,3743,2621,44.7,6364
Mackinac,Michigan,MichiganMackinac,5463,5354,52,10817
Macomb,Michigan,MichiganMacomb,422835,445869,40.8,868704
Manistee,Michigan,MichiganManistee,12658,11786,49.2,24444
Marquette,Michigan,MichiganMarquette,33703,33236,39,66939
Mason,Michigan,MichiganMason,14310,14574,46.1,28884
Mecosta,Michigan,MichiganMecosta,21844,21420,36.5,43264
Menominee,Michigan,MichiganMenominee,11781,11453,48.2,23234
Midland,Michigan,MichiganMidland,40980,42409,41.7,83389
Missaukee,Michigan,MichiganMissaukee,7668,7338,43.7,15006
Monroe,Michigan,MichiganMonroe,73914,75785,42.4,149699
Montcalm,Michigan,MichiganMontcalm,32595,30614,40.7,63209
Montmorency,Michigan,MichiganMontmorency,4665,4596,55.7,9261
Muskegon,Michigan,MichiganMuskegon,86083,86960,39.3,173043
Newaygo,Michigan,MichiganNewaygo,24149,23993,42.5,48142
Oakland,Michigan,MichiganOakland,610771,640072,40.9,1250843
Oceana,Michigan,MichiganOceana,13412,13005,42.7,26417
Ogemaw,Michigan,MichiganOgemaw,10480,10448,50.3,20928
Ontonagon,Michigan,MichiganOntonagon,3054,2914,58.1,5968
Osceola,Michigan,MichiganOsceola,11738,11494,43.8,23232
Oscoda,Michigan,MichiganOscoda,4251,4026,52.1,8277
Otsego,Michigan,MichiganOtsego,12061,12336,44.7,24397
Ottawa,Michigan,MichiganOttawa,140285,143749,35,284034
Presque,Michigan,MichiganPresque,6386,6411,54.7,12797
Roscommon,Michigan,MichiganRoscommon,11857,12020,55.8,23877
Saginaw,Michigan,MichiganSaginaw,93581,99197,40.8,192778
