County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
Cross,Arkansas,ArkansasCross,8200,8798,41.2,16998
Dallas,Arkansas,ArkansasDallas,3618,3814,43.7,7432
Desha,Arkansas,ArkansasDesha,5623,6264,39.1,11887
Drew,Arkansas,ArkansasDrew,9033,9469,37,18502
Faulkner,Arkansas,ArkansasFaulkner,59911,62505,32.5,122416
Franklin,Arkansas,ArkansasFranklin,8675,9105,41.3,17780
Fulton,Arkansas,ArkansasFulton,6048,6091,48.1,12139
Garland,Arkansas,ArkansasGarland,47182,51114,44.9,98296
Grant,Arkansas,ArkansasGrant,8870,9216,40.4,18086
Greene,Arkansas,ArkansasGreene,21912,22711,37.9,44623
Hempstead,Arkansas,ArkansasHempstead,10494,11524,39.9,22018
Hot,Arkansas,ArkansasHot,17418,16102,41.3,33520
Howard,Arkansas,ArkansasHoward,6440,6949,38.8,13389
Independence,Arkansas,ArkansasIndependence,18092,19172,39.4,37264
Izard,Arkansas,ArkansasIzard,7018,6541,48,13559
Jackson,Arkansas,ArkansasJackson,8512,8713,39.9,17225
Jefferson,Arkansas,ArkansasJefferson,34906,35518,38.8,70424
Johnson,Arkansas,ArkansasJohnson,12976,13315,38,26291
Lafayette,Arkansas,ArkansasLafayette,3381,3534,46.3,6915
Lawrence,Arkansas,ArkansasLawrence,8270,8399,41.1,16669
Lee,Arkansas,ArkansasLee,5309,4089,41.8,9398
Lincoln,Arkansas,ArkansasLincoln,8590,5105,38.6,13695
Little,Arkansas,ArkansasLittle,6090,6327,42.6,12417
Logan,Arkansas,ArkansasLogan,10643,11114,41.5,21757
Lonoke,Arkansas,ArkansasLonoke,35667,36539,36.1,72206
Madison,Arkansas,ArkansasMadison,8038,8038,42.6,16076
Marion,Arkansas,ArkansasMarion,7990,8448,51.7,16438
Miller,Arkansas,ArkansasMiller,21476,22283,38.9,43759
Mississippi,Arkansas,ArkansasMississippi,20876,21955,36.2,42831
Monroe,Arkansas,ArkansasMonroe,3316,3933,47,7249
Montgomery,Arkansas,ArkansasMontgomery,4440,4553,50,8993
Nevada,Arkansas,ArkansasNevada,4425,4015,44.8,8440
